category,constraint_scenario,depot_chargers,depots,instance,interpretation,manifest_num_cv,manifest_num_ev,max_cv,max_ev,mechanism,promotable,public_chargers,replicate,size,source_class
multidepot,unbounded_reference,,2,e2-multidepot-10c-03,Current solver/search-shell reference.,1,1,1000000,1000000,none,False,,3,10,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-10c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,1,1,1000000,1,ev_fleet_capital,False,,3,10,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-10c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,1,1,1,1,fleet_capital,False,,3,10,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-10c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,3,10,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,2,2,e2-multidepot-10c-03,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,3,10,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-10c-03,Set public station chargers to zero to test public charging dependency.,1,1,1000000,1000000,public_charging_availability,False,0,3,10,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-10c-03,Combine manifest-EV depot charger proxy with no public charging.,1,1,1000000,1000000,charging_capacity_combo,False,0,3,10,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-150c-01,Current solver/search-shell reference.,10,10,1000000,1000000,none,False,,1,150,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-150c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,10,10,1000000,10,ev_fleet_capital,False,,1,150,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-150c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,10,10,10,10,fleet_capital,False,,1,150,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,10,2,e2-multidepot-150c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,10,10,1000000,1000000,depot_charging_capacity,False,,1,150,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,20,2,e2-multidepot-150c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,10,10,1000000,1000000,depot_charging_capacity,False,,1,150,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-150c-01,Set public station chargers to zero to test public charging dependency.,10,10,1000000,1000000,public_charging_availability,False,0,1,150,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,10,2,e2-multidepot-150c-01,Combine manifest-EV depot charger proxy with no public charging.,10,10,1000000,1000000,charging_capacity_combo,False,0,1,150,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-150c-02,Current solver/search-shell reference.,10,10,1000000,1000000,none,False,,2,150,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-150c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,10,10,1000000,10,ev_fleet_capital,False,,2,150,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-150c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,10,10,10,10,fleet_capital,False,,2,150,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,10,2,e2-multidepot-150c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,10,10,1000000,1000000,depot_charging_capacity,False,,2,150,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,20,2,e2-multidepot-150c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,10,10,1000000,1000000,depot_charging_capacity,False,,2,150,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-150c-02,Set public station chargers to zero to test public charging dependency.,10,10,1000000,1000000,public_charging_availability,False,0,2,150,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,10,2,e2-multidepot-150c-02,Combine manifest-EV depot charger proxy with no public charging.,10,10,1000000,1000000,charging_capacity_combo,False,0,2,150,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-150c-03,Current solver/search-shell reference.,10,9,1000000,1000000,none,False,,3,150,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-150c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,10,9,1000000,9,ev_fleet_capital,False,,3,150,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-150c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,10,9,10,9,fleet_capital,False,,3,150,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,9,2,e2-multidepot-150c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,10,9,1000000,1000000,depot_charging_capacity,False,,3,150,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,19,2,e2-multidepot-150c-03,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,10,9,1000000,1000000,depot_charging_capacity,False,,3,150,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-150c-03,Set public station chargers to zero to test public charging dependency.,10,9,1000000,1000000,public_charging_availability,False,0,3,150,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,9,2,e2-multidepot-150c-03,Combine manifest-EV depot charger proxy with no public charging.,10,9,1000000,1000000,charging_capacity_combo,False,0,3,150,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-15c-01,Current solver/search-shell reference.,2,0,1000000,1000000,none,False,,1,15,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-15c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,0,1000000,0,ev_fleet_capital,False,,1,15,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-15c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,2,0,2,0,fleet_capital,False,,1,15,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-15c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,0,1000000,1000000,depot_charging_capacity,False,,1,15,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,2,2,e2-multidepot-15c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,0,1000000,1000000,depot_charging_capacity,False,,1,15,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-15c-01,Set public station chargers to zero to test public charging dependency.,2,0,1000000,1000000,public_charging_availability,False,0,1,15,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-15c-01,Combine manifest-EV depot charger proxy with no public charging.,2,0,1000000,1000000,charging_capacity_combo,False,0,1,15,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-15c-02,Current solver/search-shell reference.,1,1,1000000,1000000,none,False,,2,15,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-15c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,1,1,1000000,1,ev_fleet_capital,False,,2,15,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-15c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,1,1,1,1,fleet_capital,False,,2,15,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-15c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,2,15,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,2,2,e2-multidepot-15c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,1,1,1000000,1000000,depot_charging_capacity,False,,2,15,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-15c-02,Set public station chargers to zero to test public charging dependency.,1,1,1000000,1000000,public_charging_availability,False,0,2,15,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-15c-02,Combine manifest-EV depot charger proxy with no public charging.,1,1,1000000,1000000,charging_capacity_combo,False,0,2,15,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-15c-03,Current solver/search-shell reference.,2,1,1000000,1000000,none,False,,3,15,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-15c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,1,1000000,1,ev_fleet_capital,False,,3,15,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-15c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,2,1,2,1,fleet_capital,False,,3,15,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-15c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,3,15,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,3,2,e2-multidepot-15c-03,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,3,15,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-15c-03,Set public station chargers to zero to test public charging dependency.,2,1,1000000,1000000,public_charging_availability,False,0,3,15,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-15c-03,Combine manifest-EV depot charger proxy with no public charging.,2,1,1000000,1000000,charging_capacity_combo,False,0,3,15,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-200c-01,Current solver/search-shell reference.,14,14,1000000,1000000,none,False,,1,200,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-200c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,14,14,1000000,14,ev_fleet_capital,False,,1,200,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-200c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,14,14,14,14,fleet_capital,False,,1,200,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,14,2,e2-multidepot-200c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,14,14,1000000,1000000,depot_charging_capacity,False,,1,200,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,28,2,e2-multidepot-200c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,14,14,1000000,1000000,depot_charging_capacity,False,,1,200,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-200c-01,Set public station chargers to zero to test public charging dependency.,14,14,1000000,1000000,public_charging_availability,False,0,1,200,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,14,2,e2-multidepot-200c-01,Combine manifest-EV depot charger proxy with no public charging.,14,14,1000000,1000000,charging_capacity_combo,False,0,1,200,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-200c-02,Current solver/search-shell reference.,12,12,1000000,1000000,none,False,,2,200,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-200c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,12,12,1000000,12,ev_fleet_capital,False,,2,200,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-200c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,12,12,12,12,fleet_capital,False,,2,200,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,12,2,e2-multidepot-200c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,12,12,1000000,1000000,depot_charging_capacity,False,,2,200,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,24,2,e2-multidepot-200c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,12,12,1000000,1000000,depot_charging_capacity,False,,2,200,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-200c-02,Set public station chargers to zero to test public charging dependency.,12,12,1000000,1000000,public_charging_availability,False,0,2,200,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,12,2,e2-multidepot-200c-02,Combine manifest-EV depot charger proxy with no public charging.,12,12,1000000,1000000,charging_capacity_combo,False,0,2,200,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-200c-03,Current solver/search-shell reference.,14,13,1000000,1000000,none,False,,3,200,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-200c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,14,13,1000000,13,ev_fleet_capital,False,,3,200,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-200c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,14,13,14,13,fleet_capital,False,,3,200,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,13,2,e2-multidepot-200c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,14,13,1000000,1000000,depot_charging_capacity,False,,3,200,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,27,2,e2-multidepot-200c-03,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,14,13,1000000,1000000,depot_charging_capacity,False,,3,200,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-200c-03,Set public station chargers to zero to test public charging dependency.,14,13,1000000,1000000,public_charging_availability,False,0,3,200,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,13,2,e2-multidepot-200c-03,Combine manifest-EV depot charger proxy with no public charging.,14,13,1000000,1000000,charging_capacity_combo,False,0,3,200,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-20c-01,Current solver/search-shell reference.,2,1,1000000,1000000,none,False,,1,20,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-20c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,1,1000000,1,ev_fleet_capital,False,,1,20,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-20c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,2,1,2,1,fleet_capital,False,,1,20,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-20c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,1,20,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,3,2,e2-multidepot-20c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,1,20,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-20c-01,Set public station chargers to zero to test public charging dependency.,2,1,1000000,1000000,public_charging_availability,False,0,1,20,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-20c-01,Combine manifest-EV depot charger proxy with no public charging.,2,1,1000000,1000000,charging_capacity_combo,False,0,1,20,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-20c-02,Current solver/search-shell reference.,2,1,1000000,1000000,none,False,,2,20,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-20c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,1,1000000,1,ev_fleet_capital,False,,2,20,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-20c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,2,1,2,1,fleet_capital,False,,2,20,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-20c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,2,20,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,3,2,e2-multidepot-20c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,2,20,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-20c-02,Set public station chargers to zero to test public charging dependency.,2,1,1000000,1000000,public_charging_availability,False,0,2,20,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-20c-02,Combine manifest-EV depot charger proxy with no public charging.,2,1,1000000,1000000,charging_capacity_combo,False,0,2,20,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-20c-03,Current solver/search-shell reference.,2,1,1000000,1000000,none,False,,3,20,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-20c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,1,1000000,1,ev_fleet_capital,False,,3,20,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-20c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,2,1,2,1,fleet_capital,False,,3,20,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-20c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,3,20,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,3,2,e2-multidepot-20c-03,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,3,20,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-20c-03,Set public station chargers to zero to test public charging dependency.,2,1,1000000,1000000,public_charging_availability,False,0,3,20,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-20c-03,Combine manifest-EV depot charger proxy with no public charging.,2,1,1000000,1000000,charging_capacity_combo,False,0,3,20,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-25c-01,Current solver/search-shell reference.,2,1,1000000,1000000,none,False,,1,25,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-25c-01,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,1,1000000,1,ev_fleet_capital,False,,1,25,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-25c-01,Cap CV and EV route count by Goeke/ReSETP metadata.,2,1,2,1,fleet_capital,False,,1,25,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-25c-01,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,1,25,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,3,2,e2-multidepot-25c-01,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,1,25,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-25c-01,Set public station chargers to zero to test public charging dependency.,2,1,1000000,1000000,public_charging_availability,False,0,1,25,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,1,2,e2-multidepot-25c-01,Combine manifest-EV depot charger proxy with no public charging.,2,1,1000000,1000000,charging_capacity_combo,False,0,1,25,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-25c-02,Current solver/search-shell reference.,2,2,1000000,1000000,none,False,,2,25,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-25c-02,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,2,1000000,2,ev_fleet_capital,False,,2,25,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-25c-02,Cap CV and EV route count by Goeke/ReSETP metadata.,2,2,2,2,fleet_capital,False,,2,25,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,2,2,e2-multidepot-25c-02,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,2,1000000,1000000,depot_charging_capacity,False,,2,25,diagnostic_only
multidepot,depot_chargers_manifest_total_diagnostic,4,2,e2-multidepot-25c-02,Set each depot's chargers to manifest total vehicle count; diagnostic proxy only.,2,2,1000000,1000000,depot_charging_capacity,False,,2,25,diagnostic_only
multidepot,public_charging_disabled_diagnostic,,2,e2-multidepot-25c-02,Set public station chargers to zero to test public charging dependency.,2,2,1000000,1000000,public_charging_availability,False,0,2,25,diagnostic_only
multidepot,depot_manifest_ev_no_public_diagnostic,2,2,e2-multidepot-25c-02,Combine manifest-EV depot charger proxy with no public charging.,2,2,1000000,1000000,charging_capacity_combo,False,0,2,25,diagnostic_only
multidepot,unbounded_reference,,2,e2-multidepot-25c-03,Current solver/search-shell reference.,2,1,1000000,1000000,none,False,,3,25,reference_only
multidepot,goeke_ev_cap_only,,2,e2-multidepot-25c-03,Cap EV route count by Goeke/ReSETP metadata; CV remains flexible.,2,1,1000000,1,ev_fleet_capital,False,,3,25,source_backed_diagnostic
multidepot,goeke_total_cap,,2,e2-multidepot-25c-03,Cap CV and EV route count by Goeke/ReSETP metadata.,2,1,2,1,fleet_capital,False,,3,25,source_backed_diagnostic
multidepot,depot_chargers_manifest_ev_diagnostic,1,2,e2-multidepot-25c-03,Set each depot's chargers to manifest EV count; diagnostic proxy only.,2,1,1000000,1000000,depot_charging_capacity,False,,3,25,diagnostic_only
