category,depot_strategy,depots,instance,manifest_num_cv,manifest_num_ev,replicate,size,station_strategy,stations
multidepot,scored_candidates,2,e2-multidepot-20c-03,2,1,3,20,hybrid_support,3
multidepot,scored_candidates,2,e2-multidepot-25c-01,2,1,1,25,hybrid_support,3
multidepot,scored_candidates,2,e2-multidepot-25c-02,2,2,2,25,hybrid_support,3
multidepot,scored_candidates,2,e2-multidepot-25c-03,2,1,3,25,hybrid_support,3
multidepot,scored_candidates,2,e2-multidepot-50c-01,4,3,1,50,hybrid_support,6
multidepot,scored_candidates,2,e2-multidepot-50c-02,4,3,2,50,hybrid_support,6
multidepot,scored_candidates,2,e2-multidepot-50c-03,4,3,3,50,hybrid_support,6
multidepot,scored_candidates,2,e2-multidepot-75c-01,6,5,1,75,hybrid_support,8
multidepot,scored_candidates,2,e2-multidepot-75c-02,6,5,2,75,hybrid_support,8
multidepot,scored_candidates,2,e2-multidepot-75c-03,5,5,3,75,hybrid_support,8
multidepot,scored_candidates,2,e2-multidepot-100c-01,7,7,1,100,hybrid_support,11
multidepot,scored_candidates,2,e2-multidepot-100c-02,7,6,2,100,hybrid_support,11
multidepot,scored_candidates,2,e2-multidepot-100c-03,7,6,3,100,hybrid_support,11
multidepot,scored_candidates,2,e2-multidepot-150c-01,10,10,1,150,hybrid_support,16
multidepot,scored_candidates,2,e2-multidepot-150c-02,10,10,2,150,hybrid_support,16
multidepot,scored_candidates,2,e2-multidepot-150c-03,10,9,3,150,hybrid_support,16
multidepot,scored_candidates,2,e2-multidepot-200c-01,14,14,1,200,hybrid_support,21
multidepot,scored_candidates,2,e2-multidepot-200c-02,12,12,2,200,hybrid_support,21
multidepot,scored_candidates,2,e2-multidepot-200c-03,14,13,3,200,hybrid_support,21
threeshift,scored_candidates,2,e2-threeshift-50c-01,4,3,1,50,hybrid_support,6
threeshift,scored_candidates,2,e2-threeshift-50c-02,4,3,2,50,hybrid_support,6
threeshift,scored_candidates,2,e2-threeshift-50c-03,4,3,3,50,hybrid_support,6
threeshift,scored_candidates,2,e2-threeshift-75c-01,6,5,1,75,hybrid_support,8
threeshift,scored_candidates,2,e2-threeshift-75c-02,6,5,2,75,hybrid_support,8
threeshift,scored_candidates,2,e2-threeshift-75c-03,5,5,3,75,hybrid_support,8
threeshift,scored_candidates,2,e2-threeshift-100c-01,7,7,1,100,hybrid_support,11
threeshift,scored_candidates,2,e2-threeshift-100c-02,7,6,2,100,hybrid_support,11
threeshift,scored_candidates,2,e2-threeshift-100c-03,7,6,3,100,hybrid_support,11
threeshift,scored_candidates,2,e2-threeshift-150c-01,10,10,1,150,hybrid_support,16
threeshift,scored_candidates,2,e2-threeshift-150c-02,10,10,2,150,hybrid_support,16
threeshift,scored_candidates,2,e2-threeshift-150c-03,10,9,3,150,hybrid_support,16
threeshift,scored_candidates,2,e2-threeshift-200c-01,14,14,1,200,hybrid_support,21
threeshift,scored_candidates,2,e2-threeshift-200c-02,12,12,2,200,hybrid_support,21
threeshift,scored_candidates,2,e2-threeshift-200c-03,14,13,3,200,hybrid_support,21
