cap_scenario,category,depots,instance,interpretation,manifest_num_cv,manifest_num_ev,max_cv,max_ev,raw_num_cv,raw_num_ev,replicate,size,source_class
goeke_total_cap,vanilla,1,e2-vanilla-100c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,6,7,6,7,6,2,100,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-100c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,6,1000000,6,7,6,2,100,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-100c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,7,6,7,6,7,6,2,100,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-100c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,6,7,6,7,6,3,100,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-100c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,6,1000000,6,7,6,3,100,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-100c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,7,6,7,6,7,6,3,100,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-150c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,10,10,10,10,10,1,150,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-150c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,10,1000000,10,10,10,1,150,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-150c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,10,10,10,10,10,10,1,150,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-150c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,10,10,10,10,10,2,150,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-150c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,10,1000000,10,10,10,2,150,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-150c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,10,10,10,10,10,10,2,150,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-150c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,9,10,9,10,9,3,150,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-150c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,9,1000000,9,10,9,3,150,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-150c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,10,9,10,9,10,9,3,150,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-200c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,14,14,14,14,14,14,1,200,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-200c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,14,14,1000000,14,14,14,1,200,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-200c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,14,14,14,14,14,14,1,200,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-200c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,12,12,12,12,12,12,2,200,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-200c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,12,12,1000000,12,12,12,2,200,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-200c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,12,12,12,12,12,12,2,200,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-200c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,14,13,14,13,14,13,3,200,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-200c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,14,13,1000000,13,14,13,3,200,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-200c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,14,13,14,13,14,13,3,200,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-75c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,6,5,6,5,6,5,1,75,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-75c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,6,5,1000000,5,6,5,1,75,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-75c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,6,5,12,10,6,5,1,75,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-75c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,6,5,6,5,6,5,2,75,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-75c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,6,5,1000000,5,6,5,2,75,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-75c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,6,5,12,10,6,5,2,75,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-75c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,5,5,5,5,5,5,3,75,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-75c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,5,5,1000000,5,5,5,3,75,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-75c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,5,5,10,10,5,5,3,75,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-100c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,7,7,7,7,7,1,100,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-100c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,7,1000000,7,7,7,1,100,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-100c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,7,7,14,14,7,7,1,100,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-100c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,6,7,6,7,6,2,100,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-100c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,6,1000000,6,7,6,2,100,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-100c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,7,6,14,12,7,6,2,100,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-100c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,6,7,6,7,6,3,100,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-100c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,6,1000000,6,7,6,3,100,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-100c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,7,6,14,12,7,6,3,100,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-150c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,10,10,10,10,10,1,150,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-150c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,10,1000000,10,10,10,1,150,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-150c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,10,10,20,20,10,10,1,150,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-150c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,10,10,10,10,10,2,150,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-150c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,10,1000000,10,10,10,2,150,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-150c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,10,10,20,20,10,10,2,150,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-150c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,9,10,9,10,9,3,150,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-150c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,9,1000000,9,10,9,3,150,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-150c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,10,9,20,18,10,9,3,150,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-200c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,14,14,14,14,14,14,1,200,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-200c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,14,14,1000000,14,14,14,1,200,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-200c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,14,14,28,28,14,14,1,200,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-200c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,12,12,12,12,12,12,2,200,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-200c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,12,12,1000000,12,12,12,2,200,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-200c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,12,12,24,24,12,12,2,200,diagnostic_only
goeke_total_cap,multidepot,2,e2-multidepot-200c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,14,13,14,13,14,13,3,200,source_backed
goeke_ev_cap_only,multidepot,2,e2-multidepot-200c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,14,13,1000000,13,14,13,3,200,source_backed_diagnostic
depot_scaled_cap,multidepot,2,e2-multidepot-200c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,14,13,28,26,14,13,3,200,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-75c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,6,5,6,5,6,5,1,75,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-75c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,6,5,1000000,5,6,5,1,75,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-75c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,6,5,12,10,6,5,1,75,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-75c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,6,5,6,5,6,5,2,75,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-75c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,6,5,1000000,5,6,5,2,75,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-75c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,6,5,12,10,6,5,2,75,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-75c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,5,5,5,5,5,5,3,75,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-75c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,5,5,1000000,5,5,5,3,75,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-75c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,5,5,10,10,5,5,3,75,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-100c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,7,7,7,7,7,1,100,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-100c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,7,1000000,7,7,7,1,100,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-100c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,7,7,14,14,7,7,1,100,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-100c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,6,7,6,7,6,2,100,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-100c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,6,1000000,6,7,6,2,100,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-100c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,7,6,14,12,7,6,2,100,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-100c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,6,7,6,7,6,3,100,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-100c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,6,1000000,6,7,6,3,100,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-100c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,7,6,14,12,7,6,3,100,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-150c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,10,10,10,10,10,1,150,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-150c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,10,1000000,10,10,10,1,150,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-150c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,10,10,20,20,10,10,1,150,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-150c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,10,10,10,10,10,2,150,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-150c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,10,1000000,10,10,10,2,150,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-150c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,10,10,20,20,10,10,2,150,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-150c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,10,9,10,9,10,9,3,150,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-150c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,10,9,1000000,9,10,9,3,150,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-150c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,10,9,20,18,10,9,3,150,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-200c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,14,14,14,14,14,14,1,200,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-200c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,14,14,1000000,14,14,14,1,200,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-200c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,14,14,28,28,14,14,1,200,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-200c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,12,12,12,12,12,12,2,200,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-200c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,12,12,1000000,12,12,12,2,200,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-200c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,12,12,24,24,12,12,2,200,diagnostic_only
goeke_total_cap,threeshift,2,e2-threeshift-200c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,14,13,14,13,14,13,3,200,source_backed
goeke_ev_cap_only,threeshift,2,e2-threeshift-200c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,14,13,1000000,13,14,13,3,200,source_backed_diagnostic
depot_scaled_cap,threeshift,2,e2-threeshift-200c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,14,13,28,26,14,13,3,200,diagnostic_only
