check_id,lane,severity,status,subject,observed,expected,evidence,impact
A9-E6-BINDING,A9,P0,FAIL,E6 mechanism-specific witness binding,"{""independent_profit_baseline_sha256"": 810, ""participation_contract_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.
A9-04-E7-EVENTS,A9,P0,FAIL,E7 event streams and arm tasks are materialized and hash-bound,"{""materialized_e7_tasks"": 0, ""projection_only"": ""NOT_MATERIALIZED_FORMAL_SEARCH_HELD""}",result-blind E7 tasks include immutable event_stream_sha256,baselines/china_e3_e7/foundation_20260723/task_manifest.json,A seed recipe is not a frozen event stream; dynamic arms cannot yet be paired or replayed.
A9-05-STRICT-CERT,A9,P0,FAIL,strict multitrip certificate is mandatory on every formal task,"{""runtime_default_off"": true, ""tasks"": 3240, ""tasks_binding_strict_mode"": 0}",strict certificate cannot be disabled by ambient environment,solver/src/setp_solver/search/e3_multitrip_runtime.py; baselines/china_e3_e7/foundation_20260723/task_manifest.json,"The generic checker does not reject all physical-vehicle, SOC and charging-session faults found by A6."
A9-05-PUBLIC-STATION,A9,P0,PASS,strict multitrip path supports public-station routes,"{""instance_files"": 81, ""instances_with_public_station"": 81, ""public_station_rows"": 144, ""strict_runtime_rejects_public_station_routes"": false}",public-station routes either execute correctly or are explicitly excluded by approved design,solver/src/setp_solver/search/multitrip_schedule.py,"The China instances expose public stations, but the stronger certificate path rejects every route that visits one."
A7-04-PARENT,A7,P0,PASS,complete-model parent protection after SP recombination,"{""parent_protection_branch_present"": true}",recombined solution replaces the parent only after exact full-model improvement,baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py,"Without this guard, proxy/SP ranking could worsen the delivered result."
A7-05-SP-CHECKS,A7,P0,PASS,"SP customer coverage, fleet caps and full-model recheck","{""required_checks_present"": true}","coverage equality, fleet limits and zero-violation full recheck",baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py,A malformed recombination must not bypass the complete-model judge.
A7-05-SP-OPTIMALITY,A7,P1,FAIL,claim of exact SP recombination is backed by optimality certificate,"{""accepts_x_without_success"": true, ""mip_gap_recorded_but_not_gated"": true, ""time_limited"": true}","accept only proven optimum, or rename/disclose as time-limited MIP recombination",baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py,A feasible HiGHS incumbent after timeout is not an exact optimum; the current label can overstate the mechanism and impair replay.
A7-06-SEED,A7,P1,PASS,frozen E2 HGS random streams use explicit seeds,"{""epoch_seed_namespace"": true, ""mother_seed_explicit"": true}",all HGS calls use recorded deterministic seed recipes,baselines/e2_final_campaign_20260720/mv_hgs_sp_final/run_p3_china81_formal.py,Implicit random state would make arm differences irreproducible.
A7-07-STOP,A7,P1,FAIL,reproducible convergence and stopping contract,"{""future_budget"": {""PENDING_FORMAL_RELEASE"": 3240}, ""uses_no_improvement"": true, ""uses_wall_clock_max_runtime"": true}",formal E3-E7 primary stop is deterministic/evaluation-count based; wall clock is a safety cap,baselines/e2_final_campaign_20260720/mv_hgs_sp_final/run_p3_china81_formal.py,"With a wall-clock criterion in the primary stop, the same seed can traverse a different number of iterations across machines."
A7-08-TRAJECTORY,A7,P1,PASS,trajectory observations remain isolated from sealed table scores,"{""approval_register_id"": ""S3-TRAJ-CURVE-DEF-001"", ""decision"": ""PASS_S3_TRAJ_CURVE_UNDER_REGISTERED_DEFINITION""}",registered curve-only semantics and unchanged sealed scores,baselines/e2_final_campaign_20260720/p2p3_threeview/representative_gate/s3_traj_v4/decision_v2.json,A trajectory-only historical observation must never replace a formal score.
A10-03-FAILCLOSE,A10,P0,PASS,current adapter run command fails closed,"{""message"": ""FORMAL_SEARCH_HELD: 当前中国合同 formal_search_allowed=false；本适配器只生成计划、预检、统计和图表接线，不启动正式搜索。"", ""returncode"": 1}",nonzero exit containing FORMAL_SEARCH_HELD,baselines/china_e3_e7/adapter.py,The audit itself must not accidentally release formal search.
A10-03-FORMAL-RUNNER,A10,P0,FAIL,China E3-E7 formal runner exists with resumable atomic unit evidence,"{""adapter_run_is_intentionally_disabled"": true, ""formal_runner_exists"": false}",versioned China formal runner plus per-task atomic witness and resume ledger,baselines/china_e3_e7/adapter.py,"Planning rows cannot be executed, resumed, independently checked or attributed to the frozen MV-HGS-SP implementation."
A10-02-CERTIFICATE,A10,P0,FAIL,formal task schema requires an independent recomputation certificate,"{""tasks"": 3240, ""tasks_with_certificate_sha256"": 0}","every completed formal task binds solution, certificate and independent recomputation hashes",baselines/china_e3_e7/foundation_20260723/task_manifest.json,The aggregate-level certificate cannot substitute for per-run witness integrity.
A10-05-ENVIRONMENT,A10,P1,FAIL,runtime dependencies and thread settings are bound in formal metadata,"{""environment_probe_file"": ""execution_environment_probe.json"", ""foundation_metadata_keys"": [""algorithm_id"", ""blind_cap_e3_to_e6_task_count"", ""contract_id"", ""contract_sha256"", ""created_at_utc"", ""e7_approved_gate_task_count"", ""e7_blind_cap_projection_task_count"", ""e7_full_projection_task_count"", ""formal_calendar"", ""formal_runs_started"", ""formal_search_allowed"", ""git_head"", ""materialized_task_count"", ""schema"", ""search_evaluations"", ""source_hashes"", ""uk_series""], ""required_environment_keys_present"": false}","Python, PyVRP, SciPy/HiGHS, NumPy and thread controls recorded",baselines/china_e3_e7/foundation_20260723/metadata.json,Unbound solver/library/thread versions can change iteration counts and MIP incumbents.
