check_id,lane,check_name,default_severity,target,status,repair_authority
A4-08,A4,碳盲臂单变量隔离,P0,E4 E7 arms,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A5-01,A5,CV-EV车辆身份与数量,P0,parameter lock and runtime,PENDING,USER_APPROVAL_IF_PARAMETER_CHANGE
A5-02,A5,载重整备总质量一致性,P0,vehicle parameters and formulas,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A5-03,A5,电池SOC初值容量与边界,P0,parameter lock and runtime,PENDING,USER_APPROVAL_IF_PARAMETER_CHANGE
A5-04,A5,非线性充电曲线与时长守恒,P0,NL core,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A5-05,A5,车场与公共站功率枪数来源,P1,facilities and runtime,PENDING,USER_APPROVAL_IF_PROXY_CHANGE
A5-06,A5,共享桩并发和等待约束,P0,check scorer scheduler,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A5-07,A5,道路三矩阵身份与单位,P0,profiled matrices,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A5-08,A5,多趟实体车与固定费语义,P0,solution model and cost,PENDING,USER_APPROVAL_IF_SEMANTIC_CHANGE
A5-09,A5,能耗距离速度坡度项闭合,P0,energy formulas and matrices,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-01,A6,目标函数逐项双重复算,P0,cost scorer paper,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-02,A6,客户覆盖全解约束,P0,checker,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-03,A6,容量时间窗SOC约束,P0,checker and exact scorer,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-04,A6,车场责任与跨场服务计数,P0,checker metrics,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-05,A6,成本碳排公平分解加总,P0,reporting and scorer,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-06,A6,完成器失败关闭和不可行语义,P0,completion pipeline,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-07,A6,路线片段与整解检查边界,P1,S4 and reusable checkers,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A6-08,A6,保存witness可逆重建,P1,solution serialization,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A7-01,A7,HGS-F代理定义,P1,route proxy builder,PENDING,USER_APPROVAL_IF_SEMANTIC_CHANGE
A7-02,A7,HGS-E代理定义,P1,route proxy builder,PENDING,USER_APPROVAL_IF_SEMANTIC_CHANGE
A7-03,A7,HGS-M完整机制定义,P1,route proxy builder,PENDING,USER_APPROVAL_IF_SEMANTIC_CHANGE
A7-04,A7,完整模型裁判与父解保护,P0,MV-HGS-SP,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A7-05,A7,SP路线池覆盖车辆冲突与成本,P0,set partitioning,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A7-06,A7,随机种子与随机流隔离,P1,all arms,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A7-07,A7,收敛停止与CPU计时口径,P1,runners,PENDING,USER_APPROVAL_IF_PROTOCOL_CHANGE
A7-08,A7,轨迹与表内成绩语义隔离,P1,S3 trajectory,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A8-01,A8,E3-E7任务数和臂定义,P0,task manifest,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A8-02,A8,共同种子和配对身份,P0,task manifest and raw schema,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A8-03,A8,地图种子cell三层聚合,P0,statistics,PENDING,USER_APPROVAL_IF_STAT_CHANGE
A8-04,A8,主要终点方向与缺失规则,P0,contract and statistics,PENDING,USER_APPROVAL_IF_STAT_CHANGE
A8-05,A8,不可行超时错误处理,P0,statistics,PENDING,USER_APPROVAL_IF_STAT_CHANGE
A8-06,A8,预算公平与额外算力披露,P1,runners and paper,PENDING,USER_APPROVAL_IF_PROTOCOL_CHANGE
A8-07,A8,Holm校正和检验族,P1,statistics,PENDING,USER_APPROVAL_IF_STAT_CHANGE
A8-08,A8,结果盲扩种规则,P1,contract and controller,PENDING,USER_APPROVAL_IF_STAT_CHANGE
A8-09,A8,伪重复与样本量披露,P0,statistics and paper,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A9-01,A9,E3冻结责任基线可重建,P0,E3 adapter,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A9-02,A9,E6独立经营与公平协同定义,P0,E6 adapter,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A9-03,A9,收益和参与约束公式,P0,cost paper E6,PENDING,USER_APPROVAL_IF_SEMANTIC_CHANGE
A9-04,A9,E7事件流身份与冻结历史,P0,E7 adapter,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A9-05,A9,滚动状态继承和不可逆动作,P0,dynamic runtime,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A9-06,A9,动态协同公平碳曝光门,P0,E7 diagnostics,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A9-07,A9,静态不重规划和顺序插入基线,P1,E7 arms,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A10-01,A10,五件套完整性,P1,all evidence packages,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A10-02,A10,独立复算证书,P0,formal batch design,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A10-03,A10,断点恢复幂等和原子发布,P1,runners,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A10-04,A10,AppleDouble和缓存排除,P2,hash manifests,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A10-05,A10,环境线程和依赖绑定,P1,metadata and runners,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A10-06,A10,许可证与第三方源码边界,P1,PyVRP SciPy sources,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A10-07,A10,代码安全与秘密扫描,P2,repository source,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A11-01,A11,论文参数与运行时一致,P0,paper and runtime,PENDING,USER_APPROVAL_IF_SEMANTIC_CHANGE
A11-02,A11,论文公式与评价器一致,P0,paper cost check,PENDING,USER_APPROVAL_IF_MODEL_CHANGE
A11-03,A11,表图与封存raw一致,P0,paper artifacts,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A11-04,A11,构造情景和实测事实分级,P1,paper prose,PENDING,DIRECT_IF_WORDING_ONLY
A11-05,A11,算法名样本量统计句一致,P1,paper prose and evidence,PENDING,DIRECT_IF_WORDING_ONLY
A11-06,A11,引用来源与首次引用顺序,P2,paper bibliography,PENDING,DIRECT_IF_WORDING_ONLY
A12-01,A12,错城市错价区反例门,P0,new zero-search tests,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A12-02,A12,错碳列错时区反例门,P0,new zero-search tests,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A12-03,A12,错单位缺槽重复客户反例门,P0,new zero-search tests,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A12-04,A12,代理完整排序冲突反例门,P1,new zero-search tests,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A12-05,A12,断点和哈希损坏反例门,P1,new zero-search tests,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A12-06,A12,E2影响矩阵,P0,E2 sealed evidence,PENDING,HALT_IF_AFFECTED
A12-07,A12,E3总放行裁决,P0,all lanes,PENDING,SEPARATE_RELEASE_ONLY
