check_id,lane,severity,status,subject,observed,expected,evidence,impact,repair_authority
A3-10,A3,P0,FAIL,default-date 0# diesel price,"{'default_date': '2025-02-12', 'mismatching_cities': ['beijing', 'tianjin', 'shijiazhuang', 'guangzhou', 'shenzhen', 'dongguan', 'foshan', 'chengdu', 'chongqing'], 'runtime_prices_by_region': {'jjj': 6.87, 'prd': 6.83, 'cy': 6.9}}","2025-02-12 local maximum-retail scenario values: Beijing 7.48, Tianjin/Hebei 7.43, Guangdong 7.44, Sichuan 7.48, Chongqing 7.50 CNY/L",diesel_price_2025_02_12_source_register.csv,The runtime imports July 2026 values into a February 2025 electricity/carbon scenario and underprices diesel in all nine cities.,Create a new city/zone-keyed immutable input register; preserve the old E2 evidence and rerun exposed China81 cells.
A3-11,A3,P0,FAIL,diesel geographic selector granularity,"{'runtime_selector': 'region only', 'regions_with_multiple_required_prices': {'jjj': [7.43, 7.48], 'cy': [7.48, 7.5]}}",explicit city/diesel_zone selector where local prices differ,solver/src/setp_solver/china81.py::_DIESEL_PRICE_CNY_PER_L; diesel_price_2025_02_12_source_register.csv,JJJ and Chengdu-Chongqing cannot be represented correctly by one price per model region.,Deterministic selector repair is allowed; numeric scenario values remain approval-governed.
A3-12,A3,P1,PASS,diesel evidence-byte availability and provenance strength,"{'files_present': True, 'errors': [], 'chongqing_boundary': 'DERIVED_FROM_OFFICIAL_NDRC_PER_TON_AND_OFFICIAL_LOCAL_ADJACENT_RETAIL_TABLES'}",all cited official evidence bytes retained; derived values are explicitly distinguished from directly observed local rows,diesel_price_2025_02_12_source_register.csv,,
A4R-LEGACY-01,A4,P0,PASS,legacy Chengdu-to-Chongqing carbon contamination is rejected,"China81 calendar city-carbon mapping disagrees for 'chengdu': observed='Chongqing', expected='Sichuan'",production loader fails closed on the frozen v1 mismatch,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; china81.py::_load_time_profile,,
A4R-01,A4,P0,PASS,48-slot city-specific exact-boundary price/carbon readback,errors=0,9 cities x 48 slots match independent one-slot arithmetic,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; production China81 loader and cost.py functions,,
A4R-02,A4,P0,PASS,charging action crossing a TOU/carbon boundary,errors=[],energy-weighted settlement closes across both slots,"baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; one 1 kWh action per city, starting 30 seconds before transition",,
A4R-03,A4,P0,PASS,charging action crossing 24:00,errors=[],23:59:30--00:00:30 splits exactly over slots 48 and 1,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; one 1 kWh cyclic action per city,,
A4R-04,A4,P0,PASS,depot/public price-field selection,errors=[],same-city public minus depot cost equals 0.4 CNY/kWh proxy,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; one 0.1 kWh depot/public pair per city at 06:00,,
A4R-FI-01,A4,P0,PASS,fault injection: one missing time-varying price field,rejected,formal China81 settlement fails closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; china81.py::_load_time_profile on a temporary malformed calendar,,
A4R-FI-02,A4,P0,PASS,fault injection: city labels removed from formal profile,rejected,formal China81 profile cannot downgrade to shared-profile mode,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; china81.py::_load_time_profile on a temporary malformed calendar,,
A4R-FI-03,A4,P0,PASS,fault injection: slot id and local-time start disagree,rejected,half_hour_slot s starts at exactly (s-1)*1800 seconds,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; china81.py::_load_time_profile; cost.py profile lookup,Malformed formal calendar can silently shift settlement.,Add deterministic canonical-grid validation to the China81 loader; no model or numeric parameter changes.
A4R-HARD-01,A4,P2,PASS,hardening: low-level settlement receives partial price rows,rejected,formal caller must validate first; preferably expose an explicit strict mode instead of silently using the historical fallback,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; cost.py::charging_action_electricity_cost,Historical compatibility fallback should not be reachable from a formal China81 bundle.,
A4R-FI-04,A4,P0,PASS,fault injection: requested date absent from calendar,rejected,loader fails closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/runtime_boundary_checks.csv; china81.py::_load_time_profile,,
A5-01,A5,P0,PASS,independent S4 objective decomposition,"{""fields"": 15, ""independent_total"": 2357.11786239211, ""mismatches"": {}, ""production_total"": 2357.11786239211}",all objective components close independently,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; baselines/e2_final_campaign_20260720/p2p3_threeview/table4_gate/best_solution_witness_v2.json,A mismatch would invalidate the common exact scorer.,
A5-02,A5,P1,PASS,sealed witness EV charge/traction energy closure,charged-drive=-8.52651282912e-14 kWh,"zero for this all-depot, zero-initial-SOC witness",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; baselines/e2_final_campaign_20260720/p2p3_threeview/table4_gate/best_solution_witness_v2.json,"A nonzero value can be legal with terminal SOC, but must be explained by a complete battery ledger.",
A6-BASE,A6,P0,PASS,sealed full-solution positive control,"{""types"": [], ""error"": null}",zero violations and no exception,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; baselines/e2_final_campaign_20260720/p2p3_threeview/table4_gate/best_solution_witness_v2.json,The positive control must pass before fault injection is meaningful.,
A6-F01,A6,P0,PASS,missing customer,"{""exception"": null, ""violation_types"": [""CUSTOMER_COVERAGE""]}","[""CUSTOMER_COVERAGE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,coverage must be a full-solution constraint,
A6-F02,A6,P0,PASS,duplicate customer,"{""exception"": null, ""violation_types"": [""CAPACITY"", ""CUSTOMER_COVERAGE""]}","[""CUSTOMER_COVERAGE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,duplicate service must be rejected,
A6-F03,A6,P0,PASS,open route,"{""exception"": null, ""violation_types"": [""FLOW_BALANCE""]}","[""FLOW_BALANCE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,each static trip must close at its home depot,
A6-F04,A6,P0,PASS,wrong home depot,"{""exception"": null, ""violation_types"": [""FLOW_BALANCE""]}","[""FLOW_BALANCE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,route endpoints must bind to home_depot_id,
A6-F05,A6,P0,PASS,over-capacity demand,"{""exception"": null, ""violation_types"": [""CAPACITY""]}","[""CAPACITY""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,payload overflow must be rejected,
A6-F06,A6,P0,PASS,late customer,"{""exception"": null, ""violation_types"": [""TIME_WINDOW""]}","[""TIME_WINDOW""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,hard customer time-window violation must be rejected,
A6-F07,A6,P0,PASS,missing EV depot charge,"{""exception"": null, ""violation_types"": [""BATTERY""]}","[""BATTERY""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,battery underflow must be rejected,
A6-F08,A6,P0,PASS,charging duration inconsistent with curve,"{""exception"": null, ""violation_types"": [""CHARGING_POWER"", ""STATION_CAPACITY""]}","[""CHARGING_POWER""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,nonlinear action duration must bind to energy states,
A6-F09,A6,P0,PASS,charging action detached from every route,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,every action must bind to exactly one route/trip,Reject every charging action not bound to exactly one route id.
A6-F10,A6,P0,PASS,charging action attached to CV route,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,combustion vehicles cannot own charging actions,Reject charging actions owned by CV routes.
A6-F11,A6,P0,PASS,charging action attached to customer node,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,charging is allowed only at depot/station nodes,Reject charging actions at customer or unknown nodes.
A6-F12,A6,P0,PASS,charging action at station not visited by its route,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,a station action must bind to an actual route visit,Reject charging actions whose station is absent from the route.
A6-F13,A6,P0,PASS,charging metadata start SOC differs from route battery,"{""exception"": null, ""violation_types"": [""BATTERY""]}","[""BATTERY""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,action start/end energy must bind to the route battery ledger,Bind nonlinear action start/end energy to the actual route battery state at that visit.
A6-F14,A6,P0,PASS,two simultaneous sessions for one vehicle at one charger,"{""exception"": null, ""violation_types"": [""BATTERY"", ""STATION_CAPACITY""]}","[""STATION_CAPACITY""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,one physical vehicle cannot occupy duplicate concurrent sessions,Reject overlapping charging sessions for one physical vehicle; do not deduplicate them in capacity accounting.
A6-F15,A6,P1,PASS,day-0 post-return action credited to current departure SOC,"{""formal_certificate_check"": ""A6-CERT-F06"", ""formal_certificate_rejected_fault"": true, ""legacy_generic_checker_gap"": true}",legacy E2 checker gap is disclosed and the mandatory formal E3 execution certificate rejects the fault,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,The sealed E2 checker remains unchanged; this fault is closed for future formal evidence only because every E3 candidate must traverse the execution certificate.,Normalize China81 first-trip charging to the explicit day -1 pre-horizon certificate; preserve the old E2 witness as evidence.
A6-F16,A6,P1,PASS,intermediate foreign depot inside one static trip,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,a trip may use only its origin/terminal depot copies,Reject intermediate depots inside a static trip unless a later approved model extension explicitly allows them.
A6-F17,A6,P1,PASS,overlapping trips assigned to one physical vehicle,"{""formal_certificate_check"": ""A6-CERT-F05"", ""formal_certificate_rejected_fault"": true, ""legacy_generic_checker_gap"": true}",legacy E2 checker gap is disclosed and the mandatory formal E3 execution certificate rejects the fault,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,The sealed E2 checker remains unchanged; this fault is closed for future formal evidence only because every E3 candidate must traverse the execution certificate.,Make the strict multitrip execution certificate mandatory for every E3-E7 formal path; the generic checker alone lacks certified departure clocks.
A6-F18,A6,P0,PASS,CV fleet cap exceeded,"{""exception"": null, ""violation_types"": [""FLEET_SIZE""]}","[""FLEET_SIZE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,physical fleet availability must be enforced,
A6-F19,A6,P0,PASS,one physical id changes vehicle type,"{""exception"": null, ""violation_types"": [""ROUTE_STRUCTURE""]}","[""ROUTE_STRUCTURE""]",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; fault injection against sealed S4 witness,one physical asset cannot change CV/EV type,
A6-CERT-01,A6,P0,PASS,S4 witness normalization through multitrip execution certificate,"{""charge_day_offsets"": {""-1"": 4}, ""execution_error"": null, ""generic_violation_count"": 0, ""objective_delta"": 0.0, ""physical_vehicle_counts"": {""cv"": 4, ""ev"": 4}}","certificate ledger passes, objective unchanged, first-trip charges normalized to day -1",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,This distinguishes the stronger E3 certificate path from gaps in the generic checker used by the sealed E2 completion.,
A6-CERT-F01,A6,P0,PASS,strict-certificate rejection: detached charging action,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: charging action is detached from route DETACHED_CERT_AUDIT"", ""rejected"": true}",fail closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone.",
A6-CERT-F02,A6,P0,PASS,strict-certificate rejection: charging action assigned to certified CV trip,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: CV route CV_D_guangzhou_2#T1 has charging"", ""rejected"": true}",fail closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone.",
A6-CERT-F03,A6,P0,PASS,strict-certificate rejection: charging SOC metadata shifted away from certificate state,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: route EV_D_guangzhou_1#T1 charge energy states do not bind to the certificate"", ""rejected"": true}",fail closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone.",
A6-CERT-F04,A6,P0,PASS,strict-certificate rejection: duplicate simultaneous charging sessions,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: route EV_D_guangzhou_1#T1 must have exactly one depot charge"", ""rejected"": true}",fail closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone.",
A6-CERT-F05,A6,P0,PASS,strict-certificate rejection: overlapping trips in one physical-vehicle certificate,"{""error"": ""ValueError: E3_STRICT_MULTITRIP_V2: CV_D_shenzhen_1 has overlap or incomplete recharge"", ""rejected"": true}",fail closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone.",
A6-CERT-F06,A6,P0,PASS,strict-certificate rejection: first-trip precharge relabelled as a day-0 action,"{""error"": ""ValueError: E7_CERTIFICATE_EXECUTION_CLOCK_V1: route EV_D_guangzhou_1#T1 charge day is inconsistent"", ""rejected"": true}",fail closed,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/objective_checker_audit.csv; setp_solver.search.multitrip_schedule; setp_solver.search.certificate_execution,"Every E3-E7 formal result must traverse this stronger certificate boundary, not check_solution alone.",
A8-01-MANIFEST,A8,P0,PASS,planning task counts and arm definitions,"{""arms"": {""E3"": {""optimized_responsibility_cooperation"": 405, ""status_quo_responsibility"": 405}, ""E4"": {""carbon_aware_charging"": 405, ""immediate_charging"": 405}, ""E5"": {""integrated_nonlinear_search"": 405, ""linear_plan_replay_nonlinear"": 405}, ""E6"": {""fair_cooperation"": 405, ""independent_operation"": 405}}, ""e7_gate"": 75, ""e7_projection"": 2025, ""families"": {""E3"": 810, ""E4"": 810, ""E5"": 810, ""E6"": 810}, ""materialized"": 3240}",E3-E6 3240 planning rows; E7 2025 projection and 75-row blind gate,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,A wrong task shape changes the estimand or silently drops arms.,
A8-02-HASH-BINDING,A8,P0,FAIL,paired task fields bind immutable values and hashes,"{""missing_key_counts"": {""algorithm_sha256"": 3240, ""demand_time_window_sha256"": 3240, ""depot_entrances_sha256"": 3240, ""evaluator_sha256"": 3240, ""event_stream_sha256"": 3240, ""initial_solution_sha256"": 3240, ""input_manifest_sha256"": 3240, ""instance_bundle_sha256"": 3240, ""orders_sha256"": 3240}, ""paired_field_names_only"": [""instance_id"", ""region"", ""customer_size"", ""map_index"", ""demand_and_time_windows"", ""depot_entrances"", ""event_stream"", ""initial_solution"", ""seed""]}",every formal task stores immutable identities for all paired inputs,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,Names of intended paired fields do not prove that two arms consumed the same bytes.,Materialize per-pair immutable input identities before release.
