index,name,customers,catalogue_k,capacity,bks,optimal,role,downloaded_and_audited,instance_url,bks_url,instance_sha256,instance_normalised_sha256,bks_solution_sha256,bks_all_checks_pass
32,X-n247-k50,246,47,134,37274.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/189,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/189,,,,
33,X-n251-k28,250,28,69,38684.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/190,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/190,,,,
34,X-n256-k16,255,16,1225,18839.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/191,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/191,,,,
35,X-n261-k13,260,13,1081,26558.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/192,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/192,,,,
36,X-n266-k58,265,58,35,75478.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/193,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/193,,,,
37,X-n270-k35,269,35,585,35291.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/194,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/194,,,,
38,X-n275-k28,274,28,10,21245.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/195,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/195,,,,
39,X-n280-k17,279,17,192,33503.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/196,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/196,,,,
40,X-n284-k15,283,15,109,20215.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/197,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/197,,,,
41,X-n289-k60,288,60,267,95151.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/198,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/198,,,,
42,X-n294-k50,293,50,285,47161.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/199,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/199,,,,
43,X-n298-k31,297,31,55,34231.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/200,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/200,,,,
44,X-n303-k21,302,21,794,21736.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/201,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/201,,,,
45,X-n308-k13,307,13,246,25859.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/202,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/202,,,,
46,X-n313-k71,312,71,248,94043.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/203,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/203,,,,
47,X-n317-k53,316,53,6,78355.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/204,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/204,,,,
48,X-n322-k28,321,28,868,29834.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/205,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/205,,,,
49,X-n327-k20,326,20,128,27532.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/206,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/206,,,,
50,X-n331-k15,330,15,23,31102.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/207,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/207,,,,
51,X-n336-k84,335,84,203,139111.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/208,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/208,,,,
52,X-n344-k43,343,43,61,42050.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/209,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/209,,,,
53,X-n351-k40,350,40,436,25896.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/210,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/210,,,,
54,X-n359-k29,358,29,68,51505.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/211,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/211,,,,
55,X-n367-k17,366,17,218,22814.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/212,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/212,,,,
56,X-n376-k94,375,94,4,147713.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/213,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/213,,,,
57,X-n384-k52,383,52,564,65928.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/214,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/214,,,,
58,X-n393-k38,392,38,78,38260.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/215,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/215,,,,
59,X-n401-k29,400,29,745,66154.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/216,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/216,,,,
60,X-n411-k19,410,19,216,19712.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/217,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/217,,,,
61,X-n420-k130,419,130,18,107798.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/218,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/218,,,,
62,X-n429-k61,428,61,536,65449.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/219,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/219,,,,
63,X-n439-k37,438,37,12,36391.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/220,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/220,,,,
64,X-n449-k29,448,29,777,55233.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/221,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/221,,,,
65,X-n459-k26,458,26,1106,24139.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/222,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/222,,,,
66,X-n469-k138,468,138,256,221824.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/223,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/223,,,,
67,X-n480-k70,479,70,52,89449.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/224,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/224,,,,
68,X-n491-k59,490,59,428,66483.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/225,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/225,,,,
69,X-n502-k39,501,39,13,69226.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/226,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/226,,,,
70,X-n513-k21,512,21,142,24201.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/227,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/227,,,,
71,X-n524-k153,523,137,125,154593.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/228,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/228,,,,
72,X-n536-k96,535,96,371,94846.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/229,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/229,,,,
73,X-n548-k50,547,50,11,86700.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/230,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/230,,,,
74,X-n561-k42,560,42,74,42717.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/231,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/231,,,,
75,X-n573-k30,572,30,210,50673.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/232,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/232,,,,
76,X-n586-k159,585,159,28,190316.00,false,development_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/233,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/233,6dc2154531666069b55fc6315d880678b6b22c7ad5dfede0de0e7f6f367b2ee7,7c6fac54a305f94308b5c3e764d4159452e693bf5f6f873ff1782f179880334f,24720a3c2500b45a8fe39a5adaa8d1b55b6ef7bfcf5f2cc4d54d7d8bf4ad348a,true
77,X-n599-k92,598,92,487,108451.00,false,development_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/234,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/234,586dcc98e0274d490e89d5473eb87b67d7de8c0c33a48aba1f5ceeeb4bf39834,34f2a74c232862f06c07fb33536917d4ed96ddecc5d311ac940edda1660d298b,c4e1f1c979347116d7a2b279df9dcebc259c096c1f677ea4f72177fed342a0c6,true
78,X-n613-k62,612,62,523,59535.00,false,development_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/235,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/235,4401de98b4a1fb0ea32f30cc9abba6cc6426df6b95d597c4695f0e1e040c6cf8,4649c742495e476db9e4af5206c4d5828cfc415b6705a7ca6ebf44552917d66e,e5559f5a53d7c95914b3029d2e95363c97d1a04755d1a43b20b11c5f4e618aa7,true
79,X-n627-k43,626,43,110,62164.00,false,development_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/236,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/236,9e3827d8e188658b4493d57697dd1abce27811529bbe68a74bd34ca69bcd707a,8bbafe3721aaa65e2b5ced6b281743cd7290842df23c3816c2aba61af4f2bc2c,44e0d7a07d52c5195dc455b002e9f5d8d99d6b09e35f45ce350a95772a9450b2,true
80,X-n641-k35,640,35,1381,63682.00,false,development_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/237,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/237,0b971a43ae4b5b6db7a0971eb79a25fb3df7c9b7311f4d0093f79a8c7e625e4f,216f56a294a463708aad2d742ac16e304f2ec5a22f7c13e0d2b38acac2a2cd46,ba60f48a78ef485421d121c7012e8cbf8aece88b6cf7dd90815aeaedfb5c7c0a,true
81,X-n655-k131,654,131,5,106780.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/238,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/238,,,,
82,X-n670-k130,669,126,129,146332.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/239,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/239,,,,
83,X-n685-k75,684,75,408,68205.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/240,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/240,,,,
84,X-n701-k44,700,44,87,81923.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/241,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/241,,,,
85,X-n716-k35,715,35,1007,43373.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/242,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/242,,,,
86,X-n733-k159,732,159,25,136187.00,false,confirmation_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/243,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/243,5399c3b354b3d0facde2442c58ee5c8c61da229348907f23ea6507c27849f21d,2bf33fb53a50f353718d45fe3ef3b6fb8911140b97d3b6024276b67810295968,84ca383f68fd8ca669a2ba8271f3ba4449340e1fe4163105ec1bde7b150d859a,true
87,X-n749-k98,748,98,396,77269.00,false,confirmation_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/244,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/244,68d2539f434b9ca48c4938f060f6401d040fe91c0a55015b1200374f668fc622,e04240c11a1c98622ba766036ba5e6aaa289059b63e3cefb565cbb127a381d37,4f60281a4a74610dfc9bbff0e9b6b1594fdeb1d660e52f51ed293e4d9773cece,true
88,X-n766-k71,765,71,166,114417.00,false,confirmation_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/245,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/245,b9d8b3a48c9c55965cec0d60706e586f9bc6eda94c4c794bec2c9f68674e61ca,0f5428dc345f1a04ff3276aef1329bdc08a71cf97e7de31df49a8565e091456b,62d4dd1ef8a085c7c91c2141c72c9f404b27266bb305ea263def26b5e54ff1c7,true
89,X-n783-k48,782,48,832,72386.00,false,confirmation_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/246,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/246,2411b9408542042c1e0b5a6ffaeb66d95aa23494985651c94afad62ce207d66f,908a7b0015d5d61358de1ab725e4deab1c50b580d8eab1def0d2866f3e193847,0c877d10dcc6d2f899722b6d17f6ce24cbdaeee78711df988c17819feaf35eb3,true
90,X-n801-k40,800,40,20,73305.00,false,confirmation_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/247,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/247,fe07d06c3237e27a4285f5523c4be5912af7ecbec555f482fc1d8e474fe11361,ba8b43beb5aa2b24840c475449690d0d4437fbcceb68fbd5b6f96826fdd61684,37099ec66e3931c7da7deb16cca06b071c266ff4c9efc457ca28079ba27aa7d3,true
91,X-n819-k171,818,171,358,158121.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/248,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/248,,,,
92,X-n837-k142,836,142,44,193737.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/249,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/249,,,,
93,X-n856-k95,855,95,9,88965.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/250,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/250,,,,
94,X-n876-k59,875,59,764,99299.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/251,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/251,,,,
95,X-n895-k37,894,37,1816,53860.00,false,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/252,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/252,,,,
96,X-n916-k207,915,207,33,329179.00,false,holdout_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/253,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/253,73bbb5243cb1255ecabc19372d803603647cdd4449b456e83a542559e8309d6e,59b256b149b1e9a41a5b572727a14593d6e3c9e7cfff74c28372eecb9a2359ec,bcaa4f43e3f750781f4500aaddcae182dadeecb200c5c0159594a557e6897564,true
97,X-n936-k151,935,151,138,132715.00,false,holdout_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/254,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/254,5e020bc1e4c3152c57ca7bcb589a19acf2fb7b5b6af1be76774293b2a7c5e6c6,f61d9e3ab30a19b6cd637255062af0a0a200b5d12f2f80fb1d186aa36ad46d5a,6712fe4119d342cc065b11eeefb8d74e6210d8324f0c929750716886affa97e4,true
98,X-n957-k87,956,87,11,85465.00,false,holdout_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/255,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/255,69bfeffa43e6fe382cd85399710561726c145402c5bce01023499152c8874d02,28f977c2cd603b4613320d331376ce0db9b7fa8e6914f2923a932d71506cca2e,5f9d01f92c7c7517b3b07c01b19cd79ed45001343eaac6f5618a623f4bf0d344,true
99,X-n979-k58,978,58,998,118973.00,false,holdout_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/256,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/256,1304fb25427f08cf9e5e35039890dc46486db3c54681794b75a1258c79f38981,4d5b771de708f7e3de7bda9d24976aa6592b385572b28b507e4509d6073dd950,edf328626688d4432e7221bc334bc0beacf4d4db0afefab0b4ec6587ec492d23,true
100,X-n1001-k43,1000,43,131,72346.00,false,holdout_headroom,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/257,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/257,97c950e592d8a63d4f81669f1fda9762de2a79e4a213f9e7401c699a754dc492,d2d86aca0eec8f40c52473063269302dee3c983343a6292a28ed71a6a4faf776,5b3121845a1e472602c0d82e2427e93f696e9e8efa28bebd682ad8e00ea6d28f,true
