event_id,event_type,t_appear,customer_id,old_demand,new_demand,x,y,delta_demand,old_ready_time,old_due_time,new_ready_time,new_due_time,time_window_action,demand_source,time_window_source,donor_instance_id,donor_customer_id,source,seed
12,demand_change,16413.339881896383,C208,294.0,293.0087222212368,8662.38,-16032.08,-0.9912777787632194,65580.0,85472.0,65580.0,85472.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
13,demand_change,17706.69265840252,C188,401.0,377.9487893549575,66330.57,-33588.36,-23.051210645042488,34395.0,54095.0,34395.0,54095.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
14,add,17971.35012838622,N_S2_007,0.0,335.0,49826.65,-35791.16,335.0,35758.0,55499.0,35758.0,55499.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C388,frozen_e3_sister_bundle_overlay,2
15,demand_change,19491.497204503856,C082,825.0,890.8275593055494,7140.33,3892.18,65.82755930554936,4442.0,25390.0,4442.0,25390.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
16,cancel,19838.300027402925,C213,195.0,0.0,-37849.66,29099.07,-195.0,66914.0,85353.0,66914.0,85353.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
17,demand_change,19910.707384641024,C147,635.0,680.7098394387934,36098.07,48121.16,45.70983943879344,35799.0,56726.0,35799.0,56726.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
18,add,20813.307820825383,N_S2_008,0.0,586.0,-7145.46,-34846.57,586.0,34256.0,54197.0,34256.0,54197.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C237,frozen_e3_sister_bundle_overlay,2
19,add,21168.682946431243,N_S2_009,0.0,122.0,-56195.3,-4878.77,122.0,35424.0,53705.0,35424.0,53705.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C308,frozen_e3_sister_bundle_overlay,2
20,cancel,21524.783944731207,C145,186.0,0.0,47700.81,-39447.55,-186.0,35817.0,54744.0,35817.0,54744.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
21,demand_change,21886.02823292458,C144,550.0,609.8035530936955,26447.25,-51161.75,59.80355309369554,33983.0,54702.0,33983.0,54702.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
22,demand_change,22198.448944163858,C163,707.0,750.5537042047674,552.47,-9976.75,43.55370420476743,37772.0,57266.0,37772.0,57266.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
23,demand_change,23838.821331115752,C174,729.0,723.0468792959009,8379.15,15362.45,-5.953120704099092,35381.0,55216.0,35381.0,55216.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
24,add,24017.89679981792,N_S2_010,0.0,739.0,100167.82,59205.5,739.0,33627.0,54794.0,33627.0,54794.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C258,frozen_e3_sister_bundle_overlay,2
25,demand_change,24493.253584691418,C113,151.0,132.5834503735269,57680.45,-23643.08,-18.416549626473113,36072.0,55579.0,36072.0,55579.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
26,add,25165.308331331984,N_S2_011,0.0,307.0,-22373.76,52618.15,307.0,34415.0,54035.0,34415.0,54035.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C380,frozen_e3_sister_bundle_overlay,2
27,add,26102.623424375728,N_S2_012,0.0,483.0,-12677.03,-54471.69,483.0,35741.0,56088.0,35741.0,56088.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C282,frozen_e3_sister_bundle_overlay,2
28,add,26123.535517641798,N_S2_013,0.0,287.0,-24849.78,-12574.9,287.0,65419.0,84945.0,65419.0,84945.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C424,frozen_e3_sister_bundle_overlay,2
29,demand_change,27622.93883070521,C212,137.0,120.64421821754259,2682.81,-22649.3,-16.355781782457413,65400.0,83773.0,65400.0,83773.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
30,add,27777.46053445348,N_S2_014,0.0,289.0,24709.44,-44709.1,289.0,37653.0,57235.0,37653.0,57235.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C320,frozen_e3_sister_bundle_overlay,2
31,demand_change,27886.336128154722,C123,659.0,716.0185258197833,59571.46,-28848.29,57.01852581978335,36245.0,55703.0,36245.0,55703.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
32,add,28694.731692963065,N_S2_015,0.0,193.0,-39572.23,2240.22,193.0,36202.0,54753.0,36202.0,54753.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C233,frozen_e3_sister_bundle_overlay,2
33,demand_change,28762.93325359036,C107,637.0,640.4944748333471,51963.04,-51097.6,3.4944748333471125,37145.0,57807.0,37145.0,57807.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
34,cancel,30382.416746187562,C122,153.0,0.0,26426.5,12339.32,-153.0,34462.0,53036.0,34462.0,53036.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
35,demand_change,30578.553556799754,C221,822.0,891.3093036957241,11775.37,17704.32,69.30930369572411,66096.0,85940.0,66096.0,85940.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
36,demand_change,30876.3878144286,C141,587.0,584.6969169158991,70289.73,12913.85,-2.3030830841008765,35262.0,55480.0,35262.0,55480.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
37,cancel,31489.897214095745,C134,117.0,0.0,-71080.89,1677.17,-117.0,33290.0,51710.0,33290.0,51710.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
38,cancel,32213.62013633825,C101,718.0,0.0,-50465.27,62261.15,-718.0,36553.0,56969.0,36553.0,56969.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
39,cancel,32652.800636717315,C182,288.0,0.0,-11002.63,-11187.63,-288.0,36010.0,55587.0,36010.0,55587.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
40,demand_change,33116.88759208152,C156,254.0,240.89061392217727,-38608.82,45301.34,-13.109386077822734,35440.0,54405.0,35440.0,54405.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
41,demand_change,33235.18518162728,C204,206.0,229.14059408390062,4538.08,-8678.85,23.140594083900623,65701.0,85325.0,65701.0,85325.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
42,add,33834.90064739693,N_S2_016,0.0,449.0,-44710.54,2478.16,449.0,35720.0,54730.0,35720.0,54730.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C292,frozen_e3_sister_bundle_overlay,2
43,demand_change,33849.51275647982,C202,142.0,131.73750763054394,94703.14,-38015.65,-10.262492369456055,65754.0,84826.0,65754.0,84826.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
44,add,34226.18325966165,N_S2_017,0.0,380.0,-28335.27,1128.0,380.0,35387.0,55240.0,35387.0,55240.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C365,frozen_e3_sister_bundle_overlay,2
45,demand_change,34471.91767875249,C121,217.0,247.6415033402002,-44469.36,82649.62,30.641503340200188,33834.0,53107.0,33834.0,53107.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
46,add,34625.82641405455,N_S2_018,0.0,164.0,48239.62,-46278.64,164.0,36464.0,55080.0,36464.0,55080.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C378,frozen_e3_sister_bundle_overlay,2
47,add,35556.62994830838,N_S2_019,0.0,641.0,-250.12,30853.0,641.0,34493.0,54679.0,34493.0,54679.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C205,frozen_e3_sister_bundle_overlay,2
48,demand_change,36245.9473283643,C119,187.0,198.19048073441536,-56012.82,29127.8,11.19048073441536,35866.0,55404.0,35866.0,55404.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
49,demand_change,36454.86385383154,C218,397.0,451.666894665672,-5497.38,-28961.67,54.666894665671975,65766.0,85378.0,65766.0,85378.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
50,add,37275.508301289025,N_S2_020,0.0,379.0,54672.32,-50949.03,379.0,33792.0,53291.0,33792.0,53291.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C386,frozen_e3_sister_bundle_overlay,2
51,cancel,37767.896595981874,C214,630.0,0.0,-5754.49,-41590.83,-630.0,65460.0,85921.0,65460.0,85921.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
52,demand_change,38730.3925369908,C201,472.0,409.2401890085646,109.91,-50342.2,-62.759810991435415,66876.0,86368.0,66876.0,86368.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
53,add,38846.42779586478,N_S2_021,0.0,260.0,-36089.71,10082.24,260.0,33803.0,53814.0,33803.0,53814.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C210,frozen_e3_sister_bundle_overlay,2
54,add,39287.79970434068,N_S2_022,0.0,431.0,28005.09,29360.48,431.0,37185.0,57523.0,37185.0,57523.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C238,frozen_e3_sister_bundle_overlay,2
55,demand_change,40926.027049997094,C109,468.0,420.4275681314453,-21242.87,-28002.82,-47.5724318685547,37689.0,57203.0,37689.0,57203.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
