battery_kwh,evidence_tier,main_scenario_eligible,notes,path_or_url,scale_or_config,scan_by_default,source_id,source_type,vehicle_class,year
140.0,strong_current_vehicle_class,True,Exact product configuration; use as class-compatible anchor if source remains current.,https://www.isuzucv.com/en/nrrev,battery configuration,True,IsuzuNRREV,official_web,medium-duty box truck,2024
180.0,strong_current_vehicle_class,True,Exact product configuration; use as class-compatible anchor if source remains current.,https://www.isuzucv.com/en/nrrev,battery configuration,True,IsuzuNRREV,official_web,medium-duty box truck,2024
141.0,strong_current_vehicle_class,True,Distribution-truck battery option.,https://www.daf.com/en/news-and-media/news-articles/global/2023/q4/new-daf-xb-electric-range-for-clean-urban-distribution,battery option,True,DAFXBElectric,official_web,distribution truck,2025
210.0,strong_current_vehicle_class,True,Distribution-truck battery option.,https://www.daf.com/en/news-and-media/news-articles/global/2023/q4/new-daf-xb-electric-range-for-clean-urban-distribution,battery option,True,DAFXBElectric,official_web,distribution truck,2025
282.0,strong_current_vehicle_class,True,Distribution-truck upper option; near Volvo 280.,https://www.daf.com/en/news-and-media/news-articles/global/2023/q4/new-daf-xb-electric-range-for-clean-urban-distribution,battery option,True,DAFXBElectric,official_web,distribution truck,2025
150.0,strong_current_vehicle_class,True,Medium-duty truck option.,https://www.macktrucks.com/trucks/md-electric/,battery option,True,MackMDElectric,official_web,medium-duty truck,2025
240.0,strong_current_vehicle_class,True,Medium-duty truck option.,https://www.macktrucks.com/trucks/md-electric/,battery option,True,MackMDElectric,official_web,medium-duty truck,2025
194.0,strong_current_vehicle_class,True,Medium-duty electric truck option.,https://freightliner.com/trucks/em2/,battery option,True,FreightlinerEM2,official_web,medium-duty truck,2025
291.0,strong_current_vehicle_class,True,Medium-duty electric truck option above 280; kept for transition shape.,https://freightliner.com/trucks/em2/,battery option,True,FreightlinerEM2,official_web,medium-duty truck,2025
210.0,strong_current_vehicle_class,True,Medium-duty truck anchor.,https://www.internationaltrucks.com/trucks/emv-series,battery capacity,True,InternationalEMV,official_web,medium-duty truck,2025
176.0,strong_current_vehicle_class,True,Distribution-truck option from official brochure.,https://www.renault-trucks.co.uk/static/documents/renault-trucks-e-tech-d-d-wide-uk.pdf,battery option,True,RenaultTrucksETechD,official_web,medium-duty distribution truck,2025
200.0,strong_current_vehicle_class,True,Distribution-truck option from official brochure.,https://www.renault-trucks.co.uk/static/documents/renault-trucks-e-tech-d-d-wide-uk.pdf,battery option,True,RenaultTrucksETechD,official_web,medium-duty distribution truck,2025
280.0,strong_current_vehicle_class,True,09h strong modern distribution-truck candidate; now known EV-dominant in Stage1 gate.,https://www.volvotrucks.com/en-en/news-stories/press-releases/2023/jun/volvo-presents-electric-trucks-with-longer-range.html,lower-bound FL/FE battery,True,VolvoFLFE2023,official_web,medium distribution truck,2023
160.0,diagnostic_threshold,False,Included only to locate the transition; not eligible as a main scenario without new evidence.,baselines/e2_alns/parameter_evidence_review.md,09f/09h near-flip bridge,True,DiagnosticBridge160,diagnostic,not a source-backed product value,2026
360.0,future_heavy_class,False,Requires vehicle-class recalibration.,https://www.volvotrucks.com/en-en/trucks/electric/volvo-fh-electric.html,battery range lower endpoint,False,VolvoFHElectric,official_web,heavy electric truck,2026
540.0,future_heavy_class,False,Requires vehicle-class recalibration.,https://www.volvotrucks.com/en-en/trucks/electric/volvo-fh-electric.html,battery range upper endpoint,False,VolvoFHElectric,official_web,heavy electric truck,2026
621.0,future_heavy_class,False,Long-haul class; not a battery-only override.,https://www.daimlertruck.com/en/newsroom/pressrelease/full-charge-for-the-future-the-first-eactros-600-on-the-road-in-europes-fleets-53166796,installed capacity,False,DaimlerEActros600,official_web,heavy long-haul truck,2026
