"id","category","claim","source","thread_or_path","quote","meaning","confidence","status"
"E13","user_expectation","用户明确认为实验完整跑完但目标失败。","Codex session","019ee624-6db2-75f1-9e56-54fe8960d586","实验完整跑完、结论诚实、没有乱改核心语义。但是，对于我的目标而言，是失败的。","这就是本复盘必须区分任务完成和目标达成的核心。","high","已证实"
"E14","drift","用户指出对话已经从真正目标跑偏。","Codex session","019ee624-6db2-75f1-9e56-54fe8960d586","不对。我们这些对话，做来做去，是在解决哪些问题？你先捋一捋，现在已经完全跑偏了。","Codex 需要周期性重述目标，否则会把当前动作当目标。","high","已证实"
"E15","drift","用户强调 x86 线是 DR 线，M1 对齐只是排错。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","对齐m1是为了排错，不要被带偏了。","M1 同步是手段，不是替换 x86 DR 目标。","high","已证实"
"T01","technical_result","本周最终目标不是赢弱基线，而是强 DR-ALNS。","Repo memory","D:\ReSETP\docs\handoff\memory\project-plan-overview.md","SA是地板...赢SA只算合格。","只赢弱对手不能宣称最终成功。","medium","已证实"
"T02","technical_result","H 盘 12 actor 资源探测被真实吞吐和资源证据叫停，转向 D 盘自包含工作区。","Memory","rollout_summaries/2026-06-20T17-46-47-YOc6-dr_x86_plan07_scope_drift_and_recentering.md","HALT_RESOURCE_PROBE；Scheme 3 migration to D:\ReSETP。","x86 线一开始就在处理机器资源上限，不是纯算法问题。","medium","已证实"
"T03","technical_result","Pilot07 verdict 是 WEAK，不能把当前 DR policy 当强控制器。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot07\summary\pilot07_final_report.md","Status: WEAK；not enough to treat current DR policy as stronger controller than AlphaUCB.","早期降预算 pilot 已经显示训练完成不等于强。","high","已证实"
"T04","technical_result","Pilot08 verdict 是 WEAK，BEST 也没有稳定赢 AlphaUCB。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot08\eval_final\pilot08_final_report.md","Verdict: WEAK；DR(BEST) did not stably beat AlphaUCB on both 100_02 and 100_03.","课程训练健康也没有转成性能成功。","high","已证实"
"T05","technical_result","Pilot09 发现静态搜索参数有 headroom，但这只是 meta screen。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot09\rescue_full\pilot09_rescue_report.md","PROMISING_META_SCREEN。","它证明默认参数欠调，不证明 DR 学习已经成功。","high","已证实"
"T06","technical_result","Pilot10 学习 block_meta 没有打过最优静态参数。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\pilot10_final_report.md","WEAK_RETUNE；learned block_meta did not beat best static meta.","这推翻了 block_meta 直接救 DR 的乐观判断。","high","已证实"
"T07","technical_result","Pilot11 认为不能继续长训，需要接口重设计。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot11_interface_audit\pilot11_interface_audit.md","NEEDS_INTERFACE_REDESIGN；Long training allowed: False.","失败根因开始从训练时长转向动作/观测/接口。","high","已证实"
"T08","technical_result","Pilot12 发现 accept/stop 当前没有学习信号。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot12\pilot12_final_diagnostic_report.md","HALT_ACCEPT_STOP_NO_HEADROOM；no candidate change.","不能照搬论文里的 accept/stop，必须先有候选变化。","high","已证实"
"T09","technical_result","Pilot13 发现 repair/candidate 现有浅接口没有学习 headroom。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot13\pilot13_final_diagnostic_report.md","HALT_REPAIR_INTERFACE_NO_LEARNING_HEADROOM；do not train another PPO on current shallow interface.","继续同构 PPO 长训很可能浪费时间。","high","已证实"
"T10","technical_result","Pilot14b 是 runtime-safe candidate READY，不是最终成功。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot14b\pilot14b_algorithm_health_report.md","full success is still unproven；all-scale gate READY.","READY 只是接口和候选生成有训练可能，不代表 DR 已强。","high","已证实"
"T11","technical_result","Pilot16 全规模训练健康通过，但明确不是性能 verdict。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\pilot16_training_report.md","PASS_PILOT16_TRAINING_HEALTH；not a DR-vs-baseline performance verdict.","这说明训练系统跑通，但目标还要靠评测证明。","high","已证实"
"T12","technical_result","Pilot16 训练覆盖全规模，11280 episodes、375 updates、37 checkpoints。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\pilot16_training_report.md","11280 episodes；375 updates；37 checkpoints；all 15 bundles touched.","这部分工程执行是实打实完成的。","high","已证实"
"T13","technical_result","Pilot17 只得到小幅非劣，未达 +10%。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot17\pilot17_final_report.md","ACCEPTABLE_PASS；did not reach +10% average.","最终目标未达成，不能包装成成功。","high","已证实"
"T14","technical_result","Pilot17 多个 PPO rows 没跑满预算，必须作为 caveat 报告。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot17\pilot17_final_report.md","120 PPO rows stopped before full budget.","评测结论有口径 caveat，不能过度解读。","high","已证实"
"C01","coordination","用户希望把调查、思考和判断能力交回 Claude/Fable5。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","我准备把调查、思考与判断能力交回claude。","Codex 被期待做执行和证据，不该独占判断权。","medium","已证实"
"C02","coordination","仓库文件定义了 Claude 与 Codex 的分工。","Repo file","D:\ReSETP\CLAUDE.md / D:\ReSETP\HANDOFF.md","Claude 只思考 / 判断 / 写 Codex 提示词 / 写文档；Codex 执行。","分工本来清楚，但实际执行中被混合。","medium","已证实"
"C03","coordination","Superpowers 被用于并行查证和长线程复盘。","Codex session","019ee624-6db2-75f1-9e56-54fe8960d586","@superpowers 注意探测频率和静默和救火。","辅助工具的作用是扩展查证能力和控制执行节奏。","high","已证实"
"C04","coordination","Zotero/网络/论文被指定为失败归因和方案选择的优先来源。","Codex session","019ee624-6db2-75f1-9e56-54fe8960d586","遇到疑惑和bug亦或是寻求解决方案，一定优先去zotero文献和互联网上找。","用户不接受没有资料依据的算法猜测。","high","已证实"
"C05","coordination","Pilot09 实际产生了 literature_review，但后续仍需把文献和代码真正用进判断。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot09\rescue_full\literature_review.md","Zotero status: PASS；Curriculum decomposition。","文献查了不等于吃透；用户后来要求按文献和参考代码逐项对照。","medium","已证实"
"C06","coordination","M1 线是主动同步对象，但不能替代 x86 DR 任务。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","要主动同步m1线的更改...dr-alns正是潜在的算法对比试验领跑者。","正确关系是同步 bugfix 和语义，继续服务 DR 领跑目标。","high","已证实"
"C07","coordination","用户最终要求本次复盘开启子代理通读所有相关短对话。","Codex session","current thread","这是一个庞大的复盘工程，你需要开启子代理的查，把本周所有的对话全通读查一遍。","用户已经不信单线程记忆，要求并行证据复核。","high","已证实"
"V01","trust","早停/浅层收益曾被提出为原因，但后续更像症状而非根因。","Codex session / repo report","019f034f-8dfc-7393-890d-3d6f098c3550 / pilot17 report","120 PPO rows stopped before full budget.","它解释了部分评测 caveat，但不能单独解释 DR 学不强。","medium","当时猜测但被削弱"
"V02","trust","静态搜索参数 headroom 是可信但有限的结论。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot09\rescue_full\pilot09_rescue_report.md","PROMISING_META_SCREEN。","这说明默认参数可调好，但不是学习算法贡献。","high","已证实"
"V03","trust","block_meta 能救 DR 的路线被 Pilot10 推翻。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\pilot10_final_report.md","WEAK_RETUNE。","用户后来要求 success bar 必须超过最优静态 meta 是正确的。","high","已证伪"
"V04","trust","当前更可信的原因是接口/候选生成/学习信号不足，而不是简单多训。","Repo reports","pilot11 / pilot12 / pilot13 / pilot17 reports","NEEDS_INTERFACE_REDESIGN；HALT_ACCEPT_STOP_NO_HEADROOM；HALT_REPAIR_INTERFACE_NO_LEARNING_HEADROOM；did not reach +10%.","这解释了为什么训练健康仍然没有强结果。","high","已证实"
"V05","trust","candidate 完全无 headroom 的旧说法后来被 Pilot14b 部分修正。","Repo report","D:\ReSETP\solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot14b\pilot14b_algorithm_health_report.md","all-scale gate READY；full success is still unproven.","正确说法应是有训练可能但未证明成功，而不是绝对无路。","medium","当时猜测被部分修正"
"V06","trust","多版本解释伤害了用户信任。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","三次回答，三个版本。我完全不知道哪些可信哪些不可信。","后续报告必须把事实、推论、已推翻假设分开。","high","已证实"
"S01","source_coverage","6 条核心线程都被识别为本周复盘来源。","Subagent thread map","019ee3ff / 019ee52b / 019ee623 / 019ee624 / 019f034f / 019ef7ff","核心线程全部列入 thread map。","覆盖这些线程能避免只凭当前聊天记忆写复盘。","medium","已证实"
"S02","source_coverage","外部 Claude/Fable5 原始对话和 Zotero UI 记录不可本地直接核验。","Investigation note","current thread","外部 Claude 对话、Zotero 界面记录若没有本地导出，只能标成不可直接核验。","报告不能编造不可见来源，只能标注缺口。","high","仍待验证"
"D01","drift","把阶段门 PASS/READY 写得像目标成功是主要表达风险。","Repo reports","pilot14b / pilot16 / pilot17 reports","READY；PASS_PILOT16_TRAINING_HEALTH；ACCEPTABLE_PASS but did not reach +10%.","用户会看到任务完成，但目标其实还没达成。","high","已证实"
"D02","drift","用户要求先和 M1 主线对齐，但后来又提醒不要被 M1 带偏。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","你得先和m1线对齐...对齐m1是为了排错，不要被带偏了。","这是协作中最容易混淆的双重要求。","high","已证实"
"D03","drift","用户反复要求解释“这对你意味着什么”。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","总是喜欢“机器状态”说出来了，但没有把“这对你意味着什么”说清楚。","技术报告必须转成决策意义。","high","已证实"
"D04","drift","用户要求像医生一样按症状、出处、适用性判断方法。","Codex session","019f034f-8dfc-7393-890d-3d6f098c3550","指出方法论出处以及适用的症状、当前症状的判断，像医生一样。","后续算法体检不能只列文献名，要做症状-处方匹配。","high","已证实"
