check,passed,detail,search_evaluations
C204::pyvrp_0_12_2_hgs.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
C204::pyvrp_0_12_2_hgs.route_count,True,recorded=3; recomputed=3,0
C204::pyvrp_0_12_2_hgs.distance,True,recorded=590.5987456679451; recomputed=590.5987456679451,0
C204::pyvrp_0_12_2_hgs.solution_sha,True,e5a7888d38bb28c38c2fde518392c68eb756bda8c489fb3e1b64eaaf1194dd9b,0
C105::pyvrp_0_12_2_hgs.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
C105::pyvrp_0_12_2_hgs.route_count,True,recorded=10; recomputed=10,0
C105::pyvrp_0_12_2_hgs.distance,True,recorded=828.9368669428343; recomputed=828.9368669428343,0
C105::pyvrp_0_12_2_hgs.solution_sha,True,fe45598ea528b01608ed289b4a219ccb9fb9e45c7eb4ea85539a46edd4d7367d,0
C204::hgs_safe_record_lns_04.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
C204::hgs_safe_record_lns_04.route_count,True,recorded=3; recomputed=3,0
C204::hgs_safe_record_lns_04.distance,True,recorded=593.933997157299; recomputed=593.933997157299,0
C204::hgs_safe_record_lns_04.solution_sha,True,160b5741939801d757d10a7e1c35e5ae3d527bf7187058a574fb7fb275e71438,0
RC104::hgs_safe_record_lns_04.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
RC104::hgs_safe_record_lns_04.route_count,True,recorded=10; recomputed=10,0
RC104::hgs_safe_record_lns_04.distance,True,recorded=1177.8407685479224; recomputed=1177.8407685479224,0
RC104::hgs_safe_record_lns_04.solution_sha,True,0b6515ced86fa8993bfa97577cb776897572d32ccf0165eb8387642b3149f46c,0
R108::pyvrp_0_12_2_hgs.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
R108::pyvrp_0_12_2_hgs.route_count,True,recorded=9; recomputed=9,0
R108::pyvrp_0_12_2_hgs.distance,True,recorded=1012.1574034336196; recomputed=1012.1574034336196,0
R108::pyvrp_0_12_2_hgs.solution_sha,True,d2bf2a5332d1ca48d2e1a93ffcc0892162c704557f74159ef26ebb522cfcfd54,0
R108::hgs_safe_record_lns_04.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
R108::hgs_safe_record_lns_04.route_count,True,recorded=9; recomputed=9,0
R108::hgs_safe_record_lns_04.distance,True,recorded=1012.1574034336196; recomputed=1012.1574034336196,0
R108::hgs_safe_record_lns_04.solution_sha,True,d2bf2a5332d1ca48d2e1a93ffcc0892162c704557f74159ef26ebb522cfcfd54,0
RC104::pyvrp_0_12_2_hgs.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
RC104::pyvrp_0_12_2_hgs.route_count,True,recorded=10; recomputed=10,0
RC104::pyvrp_0_12_2_hgs.distance,True,recorded=1172.3215534991916; recomputed=1172.3215534991916,0
RC104::pyvrp_0_12_2_hgs.solution_sha,True,4f1d177145ce5856577904c4a5e76abf0b6b50585be70878bece3d952adbe276,0
pairwise_recomputed,True,"{""hybrid_losses"": 2, ""hybrid_wins"": 1, ""ties"": 3}",0
bks_vehicle_excess_recomputed,True,"{""hgs_safe_record_lns_04"": 0, ""pyvrp_0_12_2_hgs"": 0}",0
activation_contract_failed_as_recorded,True,"[""R108"", ""R207"", ""RC104"", ""RC204""]",0
no_effect_attribution_defect_recomputed,True,"[""R207"", ""RC104""]",0
decision_recomputed,True,STOP_SAFE_RECORD_LNS_INTEGRITY,0
time_fairness,True,recorded time gate passed,0
common_initial_per_instance,True,same recorded initial hash in both arms,0
bks_blind_solver_inputs,True,parent loaded BKS only after all 12 solver tasks completed,0
source_input_protected_hashes,True,all protected paths still match pre-run hashes,0
scope_stays_closed,True,all escalation flags false,0
