参数/符号,数值与单位,适用决策层,来源及页码/数据版本,证据类型,最终处置
"碳权重 carbon_weight","1.0","充电时刻","metadata.json#/charging_policy/carbon_weight","本项目运行配置；出处待补","源解实际值"
"趟间充电 charging_gap_enabled","true","实体车多趟/充电","metadata.json#/charging_policy/charging_gap_enabled","本项目运行配置；出处待补","源解实际值"
"车场充电窗 depot_charge_window_mode","full_gap","实体车多趟/充电","metadata.json#/charging_policy/depot_charge_window_mode","本项目运行配置；出处待补","源解实际值"
"首趟前夜充 first_trip_prev_night_enabled","true","充电","metadata.json#/charging_policy/first_trip_prev_night_enabled","本项目运行配置；出处待补","源解实际值"
"FRVCPy充电修复 frvcpy_enabled","true","充电可行性","metadata.json#/charging_policy/frvcpy_enabled；#/frvcpy_provenance（INFORMSJoC/2020.1035，commit d50ad0dfedce3e8b8d5f741be6473a27012ece02）","开源算法实现；非文献取值","源解实际值"
"公共站候选模式 public_station_candidate_mode","parallel","公共站插入","metadata.json#/charging_policy/public_station_candidate_mode","本项目运行配置；出处待补","源解实际值"
"跨车场动作 cross_depot_enabled","true","车场协同","metadata.json#/effective_algorithm_configuration/live_switches/cross_depot_enabled","本项目运行配置；出处待补","源解实际开关"
"多趟动作 multi_trip_enabled","true","实体车多趟","metadata.json#/effective_algorithm_configuration/live_switches/multi_trip_enabled","本项目运行配置；出处待补","源解实际开关"
"车型交换 type_exchange_enabled","true","车型指派","metadata.json#/effective_algorithm_configuration/live_switches/type_exchange_enabled","本项目运行配置；出处待补","源解实际开关"
"路线层交叉 route_layer_crossover_enabled","true","路线重组","metadata.json#/effective_algorithm_configuration/live_switches/route_layer_crossover_enabled","本项目运行配置；出处待补","源解实际开关"
"公平约束 fairness.enabled","false","企业分配","metadata.json#/effective_algorithm_configuration/fairness/enabled；theta=null","本项目运行配置；协同效率臂关闭公平","源解实际口径；分摊在搜索后执行"
"碳价 p_car","0.07502 CNY/kgCO2e（75.02 CNY/tCO2e）","系统成本/充电时刻/车型","metadata.json#/carbon_price_cny_per_kg；#/effective_algorithm_configuration/carbon_price_cny_per_kg","数据版本给定；全国碳市场价格情景，正式原始页码待补","源解实际值；出处待补"
"车场电价（北京2025-02-12）","谷0.56328575、平0.83644275、峰1.14862175 CNY/kWh","车场充电","data/ChinaInstances/china81_runtime_parameter_authority_v4_20260723/tariff_carbon_hourly_calendar.csv#city=beijing,date=2025-02-12,depot_energy_cny_per_kwh","数据集给定；tariff_row_class=ONE_TO_TEN_KV_SINGLE_PART_SCENARIO_ROW；正式原始页码待补","保留数据版本值；出处待补"
"公共站服务费","0.4 CNY/kWh","公共站充电","tariff_carbon_hourly_calendar.csv#public_service_fee_cny_per_kwh","数据集给定；service_fee_class=UNIFORM_SCENARIO_PROXY_NOT_MARKET_OBSERVATION","构造情景值；不得写成市场实测"
"公共站总电价（北京2025-02-12）","谷0.96328575、平1.23644275、峰1.54862175 CNY/kWh","公共站充电","tariff_carbon_hourly_calendar.csv#public_total_cny_per_kwh","数据集给定（能源价+0.4服务费）","保留数据版本值"
"柴油价","7.48 CNY/L","燃油车运营","tariff_carbon_hourly_calendar.csv#city=beijing,diesel_price_cny_per_l；diesel_source_file=beijing_2025_01_16.html","数据集给定；DIRECT_OFFICIAL_LOCAL_RETAIL_TABLE","源解实际值"
"逐时碳强度（北京2025-02-12）","0.15410000—0.64390000 kgCO2e/kWh；24个独立小时值","充电排放","tariff_carbon_hourly_calendar.csv#carbon_factor_kgco2e_per_kwh；Li等S1-2025，数据说明p.1—4，DOI 10.6084/m9.figshare.28953545.v3","文献配套数据/数据集给定","保留逐小时信息口径；48行只是积分存储"
"燃油车非能源里程成本","0.7800 CNY/km","车型/运营成本","data/ChinaInstances/china81_private_rebuild_v1_20260811/vehicle_costs.csv#cv.effective_non_energy_cost_cny_per_km","数据集给定；出处待补","源解实际值；出处待补"
"电动车非能源里程成本","0.9145 CNY/km（0.6700+0.2445）","车型/运营成本","vehicle_costs.csv#ev.effective_non_energy_cost_cny_per_km；电池折旧组合依据：Goeke & Schneider 2015 p.91 Table 4；电池价格原始页码待补","文献取值与数据集组合","源解实际值；电池价格出处待补"
"燃油车日固定成本","170.00 CNY/(辆·日)","车辆启用","vehicle_costs.csv#cv.effective_daily_fixed_cost_cny","数据集给定；出处待补","源解实际值；出处待补"
"电动车日固定成本","220.00 CNY/(辆·日)（170+50）","车辆启用","vehicle_costs.csv#ev.effective_daily_fixed_cost_cny；陈婉茹等2023 p.3330 Table 7支持50元溢价","文献取值与数据集组合","源解实际值"
"车场单车额定充电功率","60.0 kW","车场充电可行性","data/ChinaInstances/china81_final_suite_v2_20260815/fleet_caps.csv#depot_charge_power_kw；咸宁市新能源汽车充（换）电设施专项规划（2022—2035年）p.23、84","文献/中国官方规划取值","源解输入值"
"车辆容积容量","7.2 m3","路线可行性","metadata.json#/route_engine_wiring/route_contract/vehicle_volume_capacity_m3","数据集给定；出处待补","源解实际值；出处待补"
"车场D_OSM_WAY_1003511503车队上限","3 CV、3 EV；总上限6辆","车型/车辆启用","metadata.json#/fleet_caps_by_depot/D_OSM_WAY_1003511503；fleet_caps.csv对应行","数据集给定；EDF两班次物理见证派生","源解实际输入"
"车场D_OSM_WAY_1071205721车队上限","7 CV、7 EV；总上限14辆","车型/车辆启用","metadata.json#/fleet_caps_by_depot/D_OSM_WAY_1071205721；fleet_caps.csv对应行","数据集给定；EDF两班次物理见证派生","源解实际输入"
