记录类型,面板,节点ID,节点类型,纬度,经度,所属企业,路线ID,弧序号,起点,终点,实体车,车型,所属车场,来源文件,来源字段,源文件SHA256
节点,(a)节点分布,S_OSM_NODE_10718693191,station,39.9451062,116.4685240,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10724738913,station,39.8566346,116.4419916,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10811299260,station,39.9064745,116.4660786,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10827478505,station,39.8106667,116.4985670,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10836251297,station,39.8264438,116.2802656,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10848237177,station,40.0784121,116.3429671,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_10865092736,station,39.9526745,116.4995397,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11036575653,station,39.9087981,116.4434642,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11397810267,station,39.6828186,116.4965036,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11715203010,station,40.0155813,116.4022253,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11801990447,station,40.0333850,116.4035211,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11802074468,station,40.0060431,116.3810108,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11804312409,station,39.9155648,116.7221359,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_11968776958,station,40.0474653,116.3232996,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12064974139,station,39.9144549,116.1509591,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12064974141,station,39.9144272,116.1442589,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12070106294,station,39.9942727,116.4600047,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12107205945,station,39.9802468,116.3967168,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12107205946,station,39.9802487,116.3968334,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12163600981,station,40.0453305,116.2831635,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12273014615,station,40.0079147,116.3923260,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12412613156,station,39.9925861,116.3815845,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12635884766,station,39.9813402,116.3698723,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12790924108,station,39.8104843,116.3325327,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_12790924115,station,39.8408512,116.1990455,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13014698347,station,39.9098981,116.2101329,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13043108964,station,39.9114416,116.7250584,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13158155493,station,40.0691048,116.5554279,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13208009395,station,39.7288959,116.5574226,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13226993944,station,40.0745768,116.5351214,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13236821384,station,39.9101923,116.7185305,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13531954025,station,39.9898779,116.3334049,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_13540161180,station,40.0015501,116.4049195,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_3048492915,station,39.9760518,116.4868064,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
节点,(a)节点分布,S_OSM_NODE_3069987039,station,39.7995368,116.5122578,SHARED,,,,,,,,data/ChinaInstances/china81_final_suite_v2_20260815/instances/cn-jjj-50c-01-DEPOTSEARCH-d996f755bd/nodes.csv；enterprise_assignment.csv,"nodes.csv#node_id,node_type,latitude,longitude；enterprise_assignment.csv#customer_id,enterprise_id",nodes.csv 789c34cb911d4cf545b8d29233c2000eebf63226c8a4a38a35b7ee2e2bf09442；enterprise_assignment.csv 68e3d65a99881d5dbafbee41da8ea954e0fcf48e8addbfbc2313f07fc1d5d25e
