path,artifact_kinds,artifact_count,last_modified,has_raw_runs_csv,csv_rows,has_seed_column,instance_ids,solver_path,solver_path_evidence,fingerprint_a_attempts,fingerprint_a_completed,fingerprint_b_groups,fingerprint_b_groups_with_single_value,fingerprint_b_grouping_keys,fingerprint_c_result,classification,classification_evidence
baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_20260720,csv:1;json:3;md:1,5,2026-07-20T00:29:28+08:00,true,7,false,该包无此信息,未归类,baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_20260720/raw_runs.csv; 该CSV无seed或同义逐单元种子列；header=['check', 'passed', 'detail']",不适用：该包无seed或同义逐单元种子列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_v2_20260720,csv:1;json:3;md:1,5,2026-07-20T00:31:08+08:00,true,8,false,该包无此信息,未归类,baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_v2_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_v2_20260720/raw_runs.csv; 该CSV无seed或同义逐单元种子列；header=['check', 'passed']",不适用：该包无seed或同义逐单元种子列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_g0_source_hygiene_repair_v2_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_c2_g1_b_first_fire_20260720,csv:1;json:9;md:1,11,2026-07-20T00:47:04+08:00,true,3,true,PR11B|PR11B.vrp|PR17B|PR17B.vrp|PR21B|PR21B.vrp,未归类,baselines/algorithm_foundation/mpils_mvns_c2_g1_b_first_fire_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_g1_b_first_fire_20260720/raw_runs.csv; keys=['instance', 'candidate_gap_to_bks_percent']; seed=['seed']; values=['mother_objective', 'candidate_objective']; seed_counts={}",不适用：该包无迭代或评价预算列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_g1_b_first_fire_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_c2_g1_b_second_fire_20260720,csv:1;json:9;md:1,11,2026-07-20T01:01:24+08:00,true,3,true,PR11B|PR11B.vrp|PR17B|PR17B.vrp|PR21B|PR21B.vrp,未归类,baselines/algorithm_foundation/mpils_mvns_c2_g1_b_second_fire_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_g1_b_second_fire_20260720/raw_runs.csv; keys=['instance', 'candidate_gap_to_bks_percent']; seed=['seed']; values=['mother_objective', 'candidate_objective']; seed_counts={}",不适用：该包无迭代或评价预算列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_g1_b_second_fire_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_three_instance_sentinel_20260719,csv:1;json:9;md:1;txt:1,12,2026-07-19T23:21:39+08:00,true,3,true,PR11A|PR11A.vrp|PR17A|PR17A.vrp|PR21A|PR21A.vrp,未归类,baselines/algorithm_foundation/mpils_mvns_three_instance_sentinel_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_three_instance_sentinel_20260719/raw_runs.csv; keys=['instance', 'mpils_mvns_gap_to_bks_percent', 'population_unique_insertions']; seed=['seed']; values=[]; seed_counts={}",该包无此信息：没有可用的目标值或路线结构值列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_three_instance_sentinel_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/pyvrp_v13_time_quality_curve_20260720,csv:1;json:12;md:1,14,2026-07-20T02:03:23+08:00,true,9,true,PR11B|PR11B.vrp|PR17B|PR17B.vrp|PR21B|PR21B.vrp,未归类,baselines/algorithm_foundation/pyvrp_v13_time_quality_curve_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/pyvrp_v13_time_quality_curve_20260720/raw_runs.csv; keys=['instance', 'gap_percent', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/pyvrp_v13_time_quality_curve_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/remix_hgs_supplier_bridge_20260719,csv:1;json:5;md:1,7,2026-07-19T21:48:47+08:00,true,1,true,PR17A.vrp|baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/sources/normalised_instances/PR17A.vrp,未归类,baselines/algorithm_foundation/remix_hgs_supplier_bridge_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,source=baselines/algorithm_foundation/remix_hgs_supplier_bridge_20260719/raw_runs.csv; keys=['iterations']; seed=['seed']; values=[]; seed_counts={},该包无此信息：没有可用的目标值或路线结构值列,UNDETERMINED,baselines/algorithm_foundation/remix_hgs_supplier_bridge_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/remix_hgs_supplier_bridge_v2_20260719,csv:1;json:5;md:1,7,2026-07-19T21:50:23+08:00,true,1,true,PR17A.vrp|baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/sources/normalised_instances/PR17A.vrp,未归类,baselines/algorithm_foundation/remix_hgs_supplier_bridge_v2_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,source=baselines/algorithm_foundation/remix_hgs_supplier_bridge_v2_20260719/raw_runs.csv; keys=[]; seed=['seed']; values=[]; seed_counts={},该包无此信息：没有可用的目标值或路线结构值列,UNDETERMINED,baselines/algorithm_foundation/remix_hgs_supplier_bridge_v2_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/remix_pr17a_behavior_gate_20260719,csv:1;json:14;md:1,16,2026-07-19T21:39:30+08:00,true,5,true,PR17A.vrp|baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/sources/normalised_instances/PR17A.vrp,未归类,baselines/algorithm_foundation/remix_pr17a_behavior_gate_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/remix_pr17a_behavior_gate_20260719/raw_runs.csv; keys=['mode', 'budget']; seed=['seed']; values=[]; seed_counts={}",该包无此信息：没有可用的目标值或路线结构值列,UNDETERMINED,baselines/algorithm_foundation/remix_pr17a_behavior_gate_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/remix_pr17a_behavior_gate_v2_20260719,csv:1;json:14;md:1,16,2026-07-19T21:42:14+08:00,true,5,true,PR17A.vrp|baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/sources/normalised_instances/PR17A.vrp,未归类,baselines/algorithm_foundation/remix_pr17a_behavior_gate_v2_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/remix_pr17a_behavior_gate_v2_20260719/raw_runs.csv; keys=['mode', 'budget']; seed=['seed']; values=[]; seed_counts={}",该包无此信息：没有可用的目标值或路线结构值列,UNDETERMINED,baselines/algorithm_foundation/remix_pr17a_behavior_gate_v2_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/remix_same_path_equivalence_gate_20260719,csv:1;json:6;md:1,8,2026-07-19T21:15:58+08:00,true,3,true,PR11A.vrp|baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/sources/normalised_instances/PR11A.vrp,未归类,baselines/algorithm_foundation/remix_same_path_equivalence_gate_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/remix_same_path_equivalence_gate_20260719/raw_runs.csv; keys=['mode', 'iterations']; seed=['seed']; values=['cost']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/remix_same_path_equivalence_gate_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/remix_v13_six_instance_development_20260719,csv:1;json:33;md:1,35,2026-07-19T21:58:58+08:00,true,6,true,PR11A|PR11A.vrp|PR11B|PR11B.vrp|PR17A|PR17A.vrp|PR17B|PR17B.vrp|PR21A|PR21A.vrp|PR21B|PR21B.vrp,未归类,baselines/algorithm_foundation/remix_v13_six_instance_development_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/remix_v13_six_instance_development_20260719/raw_runs.csv; keys=['instance', 'remix_gap_to_bks_percent']; seed=['seed']; values=[]; seed_counts={}",该包无此信息：没有可用的目标值或路线结构值列,UNDETERMINED,baselines/algorithm_foundation/remix_v13_six_instance_development_20260719/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
