instance,class,customers,max_vehicles,capacity,reference_value,optimal_flag,standardized_time_limit_s,zip_member,instance_sha256,official_byte_equal,node_structure_ok,distance_matrix_sha256,distance_rule,search_evaluations
C202,C2,100,25,700,589.1,1,1800,In/c202.txt,dfc8ecad79f6c7ffb096cd36994143569f0babe284d5ad194683271d81063772,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
C203,C2,100,25,700,588.7,1,1800,In/c203.txt,2b79eea2962a848cb29f6153d4fb4ae725d35507686d937da6643b33fcd85062,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
C204,C2,100,25,700,588.1,1,1800,In/c204.txt,4331b2744d34e32c2987e3fe8a82b782a2039d757d2aac818f7e0fd21117bfb4,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
C205,C2,100,25,700,586.4,1,1800,In/c205.txt,15be2bb8c3e4ad99a79d1e7ee0472223feb95a4f423d010e032bda0a87266ca5,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
C206,C2,100,25,700,586.0,1,1800,In/c206.txt,745b6c7042707ffbbfc4d681ee02a84431425f1dfb3c8aa85ecf003fec8f7e53,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
C207,C2,100,25,700,585.8,1,1800,In/c207.txt,a33f03570a944c8a6d185fd6a173e66c68e67c399a4958b2d5b6d49533ace4a4,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
C208,C2,100,25,700,585.8,1,1800,In/c208.txt,1c2f2381b8743680dbeb34322869cbf5a6cdd8c281f4bcffdb99b533e601874b,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
R101,R1,100,25,200,1637.7,1,1800,In/r101.txt,3f3655182bc0fe44ce5de65fdcd2ee2f9c7fb9ed055f923635151d9d6f76d3ed,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R102,R1,100,25,200,1466.6,1,1800,In/r102.txt,eeb23171b7e4fbfc80bf000ca770329109900fbd7273fa8b9d1f95b7dfe683c3,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R103,R1,100,25,200,1208.7,1,1800,In/r103.txt,1f833e8648ba39e0edc76754fb49e81777a7175cf7b084c3f60a12607bfb3991,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R104,R1,100,25,200,971.5,1,1800,In/r104.txt,dd087124311d91facd81736debbfc7d0f351d27942917e2d76cbafd01e6183b7,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R105,R1,100,25,200,1355.3,1,1800,In/r105.txt,ff1a614f8458d6339b3f54d8e4ca2dcf0a35c96012f477f6a819ae481de85ca4,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R106,R1,100,25,200,1234.6,1,1800,In/r106.txt,31b8783d177f0fbe1c84b8f085fbf28b1989a80e4c00f49f5654ebef99835e97,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R107,R1,100,25,200,1064.6,1,1800,In/r107.txt,dba2b257a1d43d7c78d5e3a9f09091a2b125d3fbec78c0c8a1782add669a1275,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R108,R1,100,25,200,932.1,1,1800,In/r108.txt,65cae09f4099b7e70d2b723e0e3a30aa1494c75a367bb894a3fd13241ee639d4,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R109,R1,100,25,200,1146.9,1,1800,In/r109.txt,4ef24030e8c48de5f85dcd90c5739186004fc8dec87533b6467013cf996f4777,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R110,R1,100,25,200,1068.0,1,1800,In/r110.txt,14cb53cb99af61d3d708f07564b9a72d146e7c26b4f10507cfaf3bc828f34bfa,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R111,R1,100,25,200,1048.7,1,1800,In/r111.txt,3d94a73b1f2fe8aae4618b9d9ea254cff2e3924a6a841aa390096ec6c60f258d,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R112,R1,100,25,200,948.9,1,1800,In/r112.txt,a0e93149d59d30c356619891d192e86d0f16c3158e1dac3bd9f23c6deb718271,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R201,R2,100,25,1000,1143.2,1,1800,In/r201.txt,0be960ec998fff2cab0bdbcc5194c617e5ca0a79c82c5b32b1d4bd98b2cae210,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R202,R2,100,25,1000,1029.6,1,1800,In/r202.txt,1f7761bb33e9dd0c94837b32c72280296ffc283dba997379c7ad75ce00dffc8d,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R203,R2,100,25,1000,870.8,1,1800,In/r203.txt,38c484db31bd7452a94d533e26a2348ef598df600b79d061d9ddc1c61466a731,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R204,R2,100,25,1000,731.3,1,1800,In/r204.txt,5349e37d8df99bcbee1efa2e970d2662b5265e5f82fc609343a6af0a60257abf,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R205,R2,100,25,1000,949.8,1,1800,In/r205.txt,1996bf8f10716fb8cfc1a585206a6a6e566f32347c1bb8f36c75ed6c887f77e3,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R206,R2,100,25,1000,875.9,1,1800,In/r206.txt,c8754a0319264d076c038b1bf023c8c4710e8895fe3e03f485e9ae249f32fe43,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R207,R2,100,25,1000,794.0,1,1800,In/r207.txt,52dc8eebba43fdc67ca9aadab228b75a297acb55a87db3e4748e82f623e3cbe6,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R208,R2,100,25,1000,701.0,1,1800,In/r208.txt,7b4a95d500af9329dd08791d39898a619faec0f8fac039d57373e761545b980d,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R209,R2,100,25,1000,854.8,1,1800,In/r209.txt,5b74156d032babcff853ccc693f94463eca8333cd425aa99a39ed996f6258933,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R210,R2,100,25,1000,900.5,1,1800,In/r210.txt,4e5772f109fb6183e6a648d6a1edaba3435438c2dc11c42da370fecf7bdf3a14,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
R211,R2,100,25,1000,746.7,1,1800,In/r211.txt,2965507e467a2f92acd59035975910e36ae11e4f49590d4c7d20a883939227ad,1,1,8b601e7a6fe3e2f0472790079fbca2dfa89c599c98718da667f0391c7e347619,floor(10*euclidean)/10,0
RC101,RC1,100,25,200,1619.8,1,1800,In/rc101.txt,ef6893ffd9746ad96de8e4da6e64e2c4ba6e08a1c7eb9457276a9f1caf01ca12,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC102,RC1,100,25,200,1457.4,1,1800,In/rc102.txt,36acd349d34a577c7fadd61f78517c2cb74bd06a490273800c288f341e5785a4,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC103,RC1,100,25,200,1258.0,1,1800,In/rc103.txt,00f384138274d5d2bff5c41601db17cc4ad0cfc6315c27e223d4477bf435cc2d,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC104,RC1,100,25,200,1132.3,1,1800,In/rc104.txt,d150b2d61049a488fb89a2320c197d81a7ef9a1864abbbaea1d13a2b451253ee,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC105,RC1,100,25,200,1513.7,1,1800,In/rc105.txt,b9e912625c1ed80d2f565e0799ade2f4b17bf4f95056322ca23f1a21b37e7a49,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC106,RC1,100,25,200,1372.7,1,1800,In/rc106.txt,bf016ffc567af2d108570357daf1d0cabb7f680c0bd977d2e4366787683fdbaf,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC107,RC1,100,25,200,1207.8,1,1800,In/rc107.txt,fff3fd68d110671ed442575f07cc547291586f30b00c5f73934d521d31311582,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC108,RC1,100,25,200,1114.2,1,1800,In/rc108.txt,006bc8817bf09f9a8c66af8d6f088bdec239b2eb435556e9d11193cf456f7aeb,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC201,RC2,100,25,1000,1261.8,1,1800,In/rc201.txt,288836e2d8c2ace83ebbff77e03ac8cdffc574fc134cade21ef92713f8c52d44,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC202,RC2,100,25,1000,1092.3,1,1800,In/rc202.txt,5a1dee2017ab0ca4fe280b392678c96e8b5bc71f22d02c8058fbde7c4cfebcf4,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC203,RC2,100,25,1000,923.7,1,1800,In/rc203.txt,4adcb362c23df91f14b828d4964e9383ffb02ee74217afc2d84571f83ed91f8b,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC204,RC2,100,25,1000,783.5,1,1800,In/rc204.txt,11e827eab51a959ebab66344e7b7cfd1aeed895287653b36a72c86a4440ecd77,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC205,RC2,100,25,1000,1154.0,1,1800,In/rc205.txt,c061d306cf42310b0f3ca15612089f6c5a8d5604c0733bf26852477c787662c9,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC206,RC2,100,25,1000,1051.1,1,1800,In/rc206.txt,5203aecf67c84df49e152645312a837ffefde529314ff892ca061538816e43a9,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC207,RC2,100,25,1000,962.9,1,1800,In/rc207.txt,5cab65f99b350cdb8fb1c4d0a12dde85eb4ff6a6d6daf292b182cb73de9a8b63,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
RC208,RC2,100,25,1000,776.1,1,1800,In/rc208.txt,3d67d2a8e2758a324643f5d6c6ca87e8c56435273eaa04be33f213bb991f1f28,1,1,d5d0bf00fab7b6b25160afbd63f66f9216cad7e3bb54f21944dcfdd35b7e814e,floor(10*euclidean)/10,0
