instance_id,depot_id,city,old_base_all_cv_routes_Rd,new_base_all_cv_routes_Rd,delta_Rd,old_num_cv_rho_1_25,new_num_cv_rho_1_25,old_num_ev_rho_1_25,new_num_ev_rho_1_25,old_total_fleet_cap_rho_1_25,new_total_fleet_cap_rho_1_25,old_num_cv_rho_1_10,new_num_cv_rho_1_10,old_num_ev_rho_1_10,new_num_ev_rho_1_10,old_num_cv_rho_1_50,new_num_cv_rho_1_50,old_num_ev_rho_1_50,new_num_ev_rho_1_50
cn-jjj-100c-02-V2-LOCATIONS,D_beijing,beijing,13,13,0,13,13,4,4,17,17,13,13,2,2,13,13,7,7
cn-jjj-100c-02-V2-LOCATIONS,D_tianjin,tianjin,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-jjj-100c-03-V2-LOCATIONS,D_beijing,beijing,13,13,0,13,13,4,4,17,17,13,13,2,2,13,13,7,7
cn-jjj-100c-03-V2-LOCATIONS,D_tianjin,tianjin,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-jjj-10c-01-V2-LOCATIONS,D_beijing,beijing,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-jjj-10c-02-V2-LOCATIONS,D_beijing,beijing,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-jjj-10c-03-V2-LOCATIONS,D_beijing,beijing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-150c-01-V2-LOCATIONS,D_beijing,beijing,16,16,0,16,16,4,4,20,20,16,16,2,2,16,16,8,8
cn-jjj-150c-01-V2-LOCATIONS,D_shijiazhuang,shijiazhuang,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-150c-01-V2-LOCATIONS,D_tianjin,tianjin,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-jjj-150c-02-V2-LOCATIONS,D_beijing,beijing,17,17,0,17,17,5,5,22,22,17,17,2,2,17,17,9,9
cn-jjj-150c-02-V2-LOCATIONS,D_shijiazhuang,shijiazhuang,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-150c-02-V2-LOCATIONS,D_tianjin,tianjin,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-jjj-150c-03-V2-LOCATIONS,D_beijing,beijing,16,16,0,16,16,4,4,20,20,16,16,2,2,16,16,8,8
cn-jjj-150c-03-V2-LOCATIONS,D_shijiazhuang,shijiazhuang,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-150c-03-V2-LOCATIONS,D_tianjin,tianjin,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-jjj-15c-01-V2-LOCATIONS,D_beijing,beijing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-15c-02-V2-LOCATIONS,D_beijing,beijing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-15c-03-V2-LOCATIONS,D_beijing,beijing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-200c-01-V2-LOCATIONS,D_beijing,beijing,23,23,0,23,23,6,6,29,29,23,23,3,3,23,23,12,12
cn-jjj-200c-01-V2-LOCATIONS,D_shijiazhuang,shijiazhuang,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-200c-01-V2-LOCATIONS,D_tianjin,tianjin,9,9,0,9,9,3,3,12,12,9,9,1,1,9,9,5,5
cn-jjj-200c-02-V2-LOCATIONS,D_beijing,beijing,23,23,0,23,23,6,6,29,29,23,23,3,3,23,23,12,12
cn-jjj-200c-02-V2-LOCATIONS,D_shijiazhuang,shijiazhuang,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-jjj-200c-02-V2-LOCATIONS,D_tianjin,tianjin,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-jjj-200c-03-V2-LOCATIONS,D_beijing,beijing,22,22,0,22,22,6,6,28,28,22,22,3,3,22,22,11,11
cn-jjj-200c-03-V2-LOCATIONS,D_shijiazhuang,shijiazhuang,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-200c-03-V2-LOCATIONS,D_tianjin,tianjin,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-jjj-20c-01-V2-LOCATIONS,D_beijing,beijing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-20c-02-V2-LOCATIONS,D_beijing,beijing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-20c-03-V2-LOCATIONS,D_beijing,beijing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-25c-01-V2-LOCATIONS,D_beijing,beijing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-25c-02-V2-LOCATIONS,D_beijing,beijing,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-jjj-25c-03-V2-LOCATIONS,D_beijing,beijing,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-jjj-50c-01-V2-LOCATIONS,D_beijing,beijing,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-jjj-50c-01-V2-LOCATIONS,D_tianjin,tianjin,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-50c-02-V2-LOCATIONS,D_beijing,beijing,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-jjj-50c-02-V2-LOCATIONS,D_tianjin,tianjin,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-50c-03-V2-LOCATIONS,D_beijing,beijing,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-jjj-50c-03-V2-LOCATIONS,D_tianjin,tianjin,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-jjj-75c-01-V2-LOCATIONS,D_beijing,beijing,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-jjj-75c-01-V2-LOCATIONS,D_tianjin,tianjin,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-75c-02-V2-LOCATIONS,D_beijing,beijing,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-jjj-75c-02-V2-LOCATIONS,D_tianjin,tianjin,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-jjj-75c-03-V2-LOCATIONS,D_beijing,beijing,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-jjj-75c-03-V2-LOCATIONS,D_tianjin,tianjin,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-prd-100c-01-V2-LOCATIONS,D_guangzhou,guangzhou,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-prd-100c-01-V2-LOCATIONS,D_shenzhen,shenzhen,9,9,0,9,9,3,3,12,12,9,9,1,1,9,9,5,5
cn-prd-100c-02-V2-LOCATIONS,D_guangzhou,guangzhou,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-prd-100c-02-V2-LOCATIONS,D_shenzhen,shenzhen,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-prd-100c-03-V2-LOCATIONS,D_guangzhou,guangzhou,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-prd-100c-03-V2-LOCATIONS,D_shenzhen,shenzhen,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-prd-10c-01-V2-LOCATIONS,D_shenzhen,shenzhen,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-prd-10c-02-V2-LOCATIONS,D_shenzhen,shenzhen,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-prd-10c-03-V2-LOCATIONS,D_shenzhen,shenzhen,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-prd-150c-01-V2-LOCATIONS,D_dongguan,dongguan,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-150c-01-V2-LOCATIONS,D_foshan,foshan,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-150c-01-V2-LOCATIONS,D_guangzhou,guangzhou,9,9,0,9,9,3,3,12,12,9,9,1,1,9,9,5,5
cn-prd-150c-01-V2-LOCATIONS,D_shenzhen,shenzhen,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-prd-150c-02-V2-LOCATIONS,D_dongguan,dongguan,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-150c-02-V2-LOCATIONS,D_foshan,foshan,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-150c-02-V2-LOCATIONS,D_guangzhou,guangzhou,9,9,0,9,9,3,3,12,12,9,9,1,1,9,9,5,5
cn-prd-150c-02-V2-LOCATIONS,D_shenzhen,shenzhen,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-prd-150c-03-V2-LOCATIONS,D_dongguan,dongguan,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-150c-03-V2-LOCATIONS,D_foshan,foshan,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-150c-03-V2-LOCATIONS,D_guangzhou,guangzhou,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-prd-150c-03-V2-LOCATIONS,D_shenzhen,shenzhen,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-prd-15c-01-V2-LOCATIONS,D_shenzhen,shenzhen,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-prd-15c-02-V2-LOCATIONS,D_shenzhen,shenzhen,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-prd-15c-03-V2-LOCATIONS,D_shenzhen,shenzhen,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-prd-200c-01-V2-LOCATIONS,D_dongguan,dongguan,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-200c-01-V2-LOCATIONS,D_foshan,foshan,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-200c-01-V2-LOCATIONS,D_guangzhou,guangzhou,11,11,0,11,11,3,3,14,14,11,11,2,2,11,11,6,6
cn-prd-200c-01-V2-LOCATIONS,D_shenzhen,shenzhen,14,14,0,14,14,4,4,18,18,14,14,2,2,14,14,7,7
cn-prd-200c-02-V2-LOCATIONS,D_dongguan,dongguan,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-200c-02-V2-LOCATIONS,D_foshan,foshan,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-200c-02-V2-LOCATIONS,D_guangzhou,guangzhou,12,12,0,12,12,3,3,15,15,12,12,2,2,12,12,6,6
cn-prd-200c-02-V2-LOCATIONS,D_shenzhen,shenzhen,14,14,0,14,14,4,4,18,18,14,14,2,2,14,14,7,7
cn-prd-200c-03-V2-LOCATIONS,D_dongguan,dongguan,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-200c-03-V2-LOCATIONS,D_foshan,foshan,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-prd-200c-03-V2-LOCATIONS,D_guangzhou,guangzhou,12,12,0,12,12,3,3,15,15,12,12,2,2,12,12,6,6
cn-prd-200c-03-V2-LOCATIONS,D_shenzhen,shenzhen,13,13,0,13,13,4,4,17,17,13,13,2,2,13,13,7,7
cn-prd-20c-01-V2-LOCATIONS,D_shenzhen,shenzhen,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-20c-02-V2-LOCATIONS,D_shenzhen,shenzhen,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-20c-03-V2-LOCATIONS,D_shenzhen,shenzhen,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-25c-01-V2-LOCATIONS,D_shenzhen,shenzhen,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-25c-02-V2-LOCATIONS,D_shenzhen,shenzhen,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-25c-03-V2-LOCATIONS,D_shenzhen,shenzhen,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-50c-01-V2-LOCATIONS,D_guangzhou,guangzhou,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-50c-01-V2-LOCATIONS,D_shenzhen,shenzhen,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-50c-02-V2-LOCATIONS,D_guangzhou,guangzhou,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-50c-02-V2-LOCATIONS,D_shenzhen,shenzhen,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-50c-03-V2-LOCATIONS,D_guangzhou,guangzhou,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-prd-50c-03-V2-LOCATIONS,D_shenzhen,shenzhen,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-75c-01-V2-LOCATIONS,D_guangzhou,guangzhou,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-prd-75c-01-V2-LOCATIONS,D_shenzhen,shenzhen,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-prd-75c-02-V2-LOCATIONS,D_guangzhou,guangzhou,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-prd-75c-02-V2-LOCATIONS,D_shenzhen,shenzhen,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-prd-75c-03-V2-LOCATIONS,D_guangzhou,guangzhou,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-prd-75c-03-V2-LOCATIONS,D_shenzhen,shenzhen,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
