path,scale,seed,sha256,source_role
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed01__JOINT.json,100c,1,f4887a117d89d7c8ada518583c0b9a17e010c2183123da936b78ad98da0ceb09,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed02__JOINT.json,100c,2,18abefb5b580a0474ec29a7b4a44e06de22399a6497db80c50880f7f5eec041d,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed03__JOINT.json,100c,3,cb0b95b2405f9578d62c1ecd8745c5b36baa8e285f706df8725dc20d598a4c55,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed04__JOINT.json,100c,4,a7043d87175df2d1dc874c38d1e614a3e3de20bf32476a22a5da119621121496,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed05__JOINT.json,100c,5,65e8b3965fc71b4791b54b2f44d5d4a1759637fd5c8f6e5238e9aa5460017de9,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed06__JOINT.json,100c,6,3f54bd7dff64bf37c832d3b96a03cc0212a2d4ec50e022c7d5a32c8bc4ac5e2b,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed07__JOINT.json,100c,7,925d39e73d06b2e82d377af49f50ec0c14f37a0b8c066292da0b0103660c163a,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed08__JOINT.json,100c,8,4f78a45d503718191000f7313b22122b2a64636af85afd028015b79fbb8b65d6,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed09__JOINT.json,100c,9,6167fbedaad0d97dc3d2aa56470644cf638395a9b130d4eef488ae0ee9e83e76,E3_SEALED_JOINT
baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-100c-02-V2-LOCATIONS__seed10__JOINT.json,100c,10,86abd6465dd666f60a8033cfba1248ff0dbb809b037c59af4c9fd341b4817c23,E3_SEALED_JOINT
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,1,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,2,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,3,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,4,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,5,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,6,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,7,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,8,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,9,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e6/cn-prd-150c-01-V2-LOCATIONS__mismatch00/initial_solution.json,150c,10,3a44274095860f508c2ba6cdf50e6bf67e3fa5febe4002238c22527b73a8cff7,FOUNDATION_FROZEN_COMMON_INITIAL
